sex_s,gap,raw_log_mult,smoothed_log_mult,gauged_log_mult
female,-43,-7.972457395591272,-7.972790262555579,-7.974103283914719
female,-42,-8.274478837957929,-8.274261399031825,-8.275574420390965
female,-41,-8.011731375982531,-8.011831154456823,-8.013144175815963
female,-40,-8.093422716471297,-8.093409257976814,-8.094722279335954
female,-39,-8.133956615198596,-8.13335758634064,-8.13467060769978
female,-38,-7.151663893712365,-7.151995929111696,-7.153308950470836
female,-37,-7.628499934881583,-7.628212521607576,-7.629525542966716
female,-36,-7.39894647416929,-7.3987057045748275,-7.400018725933967
female,-35,-6.7651897562083665,-6.765455007039472,-6.766768028398612
female,-34,-7.164966580967978,-7.1647111772657865,-7.1660241986249265
female,-33,-6.92186327337452,-6.922064790117461,-6.923377811476601
female,-32,-7.404366411753336,-7.403707173204057,-7.405020194563197
female,-31,-6.558154729068745,-6.558388220264805,-6.559701241623945
female,-30,-6.705137855127431,-6.705025684187573,-6.706338705546713
female,-29,-6.544373099217439,-6.544241331066269,-6.545554352425409
female,-28,-6.121084992489581,-6.121230031443924,-6.1225430528030635
female,-27,-6.219787660907264,-6.219700709679571,-6.221013731038711
female,-26,-6.077539213449635,-6.077518627944429,-6.078831649303569
female,-25,-5.906521329932827,-5.906578122628469,-5.907891143987609
female,-24,-5.923317179578965,-5.923030446164135,-5.924343467523275
female,-23,-5.321053859099341,-5.321158952460754,-5.322471973819894
female,-22,-5.199331860447937,-5.1993076190700265,-5.200620640429166
female,-21,-5.032587783461508,-5.03254211252592,-5.03385513388506
female,-20,-4.783384437549083,-4.783345323138693,-4.784658344497833
female,-19,-4.498184606240253,-4.498209971400266,-4.499522992759406
female,-18,-4.343590137331317,-4.3435589063635085,-4.344871927722648
female,-17,-4.134955559367323,-4.134882943736213,-4.136195965095353
female,-16,-3.79794635966861,-3.797942331478104,-3.799255352837244
female,-15,-3.539378167109754,-3.5393418183089813,-3.5406548396681212
female,-14,-3.2507136150002447,-3.2506744709374105,-3.2519874922965504
female,-13,-2.9378404264555766,-2.9378055287778246,-2.9391185501369645
female,-12,-2.6201806141050477,-2.6201706231870845,-2.6214836445462244
female,-11,-2.354709910481218,-2.354612934605672,-2.355925955964812
female,-10,-1.9312439785322597,-1.9312680098310255,-1.9325810311901654
female,-9,-1.685667732952852,-1.6856281459298446,-1.6869411672889845
female,-8,-1.3915573564410892,-1.391500463724064,-1.392813485083204
female,-7,-1.0309880473867126,-1.0309658887853586,-1.0322789101444985
female,-6,-0.7089672794442805,-0.7089184295615352,-0.7102314509206752
female,-5,-0.34813214799164144,-0.34809649321138664,-0.3494095145705266
female,-4,0.006069397896495291,0.006124726080923256,0.0048117047217832885
female,-3,0.39967268275563084,0.3997671899042208,0.3984541685450808
female,-2,0.890223676134174,0.8903727960611657,0.8890597747020257
female,-1,1.516145155282795,1.516255912919732,1.514942891560592
female,0,2.123586625357069,2.1234349435128594,2.1221219221537195
female,1,2.1402113402869896,2.140163699190016,2.138850677830876
female,2,1.9970489696446607,1.9970477212112008,1.9957346998520609
female,3,1.8029126566638334,1.8029239017793972,1.8016108804202573
female,4,1.5747900001423454,1.574820575964562,1.573507554605422
female,5,1.3646932951638102,1.364708251192669,1.363395229833529
female,6,1.124577757560578,1.1246109785242093,1.1232979571650694
female,7,0.9044849888053551,0.9045090897827172,0.9031960684235771
female,8,0.6838035925183533,0.6838280861676506,0.6825150648085105
female,9,0.46383842009671394,0.46388232639120774,0.4625693050320678
female,10,0.31817602240164955,0.3181553072825312,0.31684228592339125
female,11,0.04455508103886895,0.04460462356530487,0.0432916022061649
female,12,-0.17007641545624397,-0.17005319885013415,-0.1713662202092741
female,13,-0.38373218848343804,-0.38370433927871517,-0.38501736063785513
female,14,-0.578043360532351,-0.578020813038261,-0.579333834397401
female,15,-0.7608105147926788,-0.7607950930974912,-0.7621081144566312
female,16,-0.9520368632754114,-0.9520143006684999,-0.9533273220276399
female,17,-1.1305328663916616,-1.1305222871475533,-1.1318353085066932
female,18,-1.3349495275280694,-1.3349193059421935,-1.3362323273013335
female,19,-1.5076804054273536,-1.5076628305182798,-1.5089758518774197
female,20,-1.6778946758813968,-1.6778977229663445,-1.6792107443254845
female,21,-1.9252055879764511,-1.925149145931505,-1.926462167290645
female,22,-2.0743633878700467,-2.0743336211227716,-2.0756466424819116
female,23,-2.167605361684251,-2.1676348891438897,-2.1689479105030296
female,24,-2.399626589037986,-2.3995756658442895,-2.4008886872034294
female,25,-2.547909330656078,-2.5478618812918103,-2.5491749026509503
female,26,-2.5823641935366726,-2.5824222099900864,-2.5837352313492263
female,27,-2.843955992832048,-2.8438425062057555,-2.8451555275648954
female,28,-2.8298270564386803,-2.829874918383674,-2.831187939742814
female,29,-2.98267378224272,-2.982655577808219,-2.983968599167359
female,30,-3.1348989270720202,-3.1349011005666276,-3.1362141219257675
female,31,-3.3706213699842587,-3.37056076445063,-3.37187378580977
