sex_s,gap,raw_log_mult,smoothed_log_mult,gauged_log_mult
female,-31,-5.951173901184647,-5.951411286070843,-5.952236746739271
female,-30,-6.13087320965516,-6.130768057332685,-6.131593518001114
female,-29,-6.0184236745827215,-6.0183003284185155,-6.019125789086944
female,-28,-5.645275530894946,-5.645404881613102,-5.64623034228153
female,-27,-5.732546402091897,-5.732469197263709,-5.733294657932138
female,-26,-5.604779216852661,-5.60475115433807,-5.605576615006498
female,-25,-5.429720063245245,-5.429798257196511,-5.43062371786494
female,-24,-5.509704336504999,-5.509393599315471,-5.5102190599839
female,-23,-4.910814835626232,-4.910944288206216,-4.911769748874645
female,-22,-4.863708457944403,-4.863648695895001,-4.864474156563429
female,-21,-4.6683121181682665,-4.668293874032647,-4.669119334701076
female,-20,-4.469505615634271,-4.469453124003337,-4.470278584671766
female,-19,-4.189538920714123,-4.189569205006688,-4.190394665675116
female,-18,-4.055272525341685,-4.055241150468965,-4.0560666111373935
female,-17,-3.863843484485886,-3.863781571966473,-3.8646070326349022
female,-16,-3.564826976316855,-3.5648294086269385,-3.5656548692953676
female,-15,-3.347743937718201,-3.347702726246099,-3.3485281869145282
female,-14,-3.077024902290528,-3.0769976960127248,-3.077823156681154
female,-13,-2.8052060808908794,-2.8051668279730055,-2.8059922886414346
female,-12,-2.5046713243551864,-2.5046713066949096,-2.5054967673633386
female,-11,-2.275852542247418,-2.275749875389009,-2.276575336057438
female,-10,-1.863462908235519,-1.8634953052065883,-1.8643207658750172
female,-9,-1.6465351424340793,-1.6464979876887909,-1.6473234483572197
female,-8,-1.3773671051171068,-1.3773121460736293,-1.378137606742058
female,-7,-1.0363598383508776,-1.0363425004514908,-1.0371679611199196
female,-6,-0.7368988659948567,-0.736850475298588,-0.7376759359670169
female,-5,-0.38995100862609217,-0.38992123368747383,-0.3907466943559027
female,-4,-0.056048941312737355,-0.05599366844679432,-0.056819129115223174
female,-3,0.32742898331900266,0.32751821479353666,0.3266927541251078
female,-2,0.8044358786140569,0.8045815501399645,0.8037560894715357
female,-1,1.4216881447294742,1.4217938313442213,1.4209683706757925
female,0,2.020535830412884,2.0203771618018505,2.0195517011334214
female,1,2.0128249822270337,2.012781182472214,2.011955721803785
female,2,1.8542254885847433,1.854230071364983,1.8534046106965543
female,3,1.6611794560351882,1.6611902295262417,1.660364768857813
female,4,1.4367253900412602,1.4367555334350173,1.4359300727665885
female,5,1.2351289071812448,1.2351422742223832,1.2343168135539544
female,6,1.0075286129702594,1.0075562659780573,1.0067308053096284
female,7,0.79203478788179,0.7920586768970769,0.7912332162286481
female,8,0.5830208923882649,0.5830419106779431,0.5822164500095143
female,9,0.37419232824367776,0.3742320330877414,0.3734065724193125
female,10,0.23514009235694303,0.2351172320303359,0.23429177136190704
female,11,-0.031025163793493394,-0.030980142790086353,-0.03180560345851521
female,12,-0.2434225615410372,-0.24339936888066052,-0.2442248295490894
female,13,-0.44769802084857013,-0.447675542864905,-0.4485010035333339
female,14,-0.641354365107262,-0.6413323803707739,-0.6421578410392027
female,15,-0.8198204675366957,-0.819804176789111,-0.8206296374575398
female,16,-0.995772363611354,-0.9957569536659938,-0.9965824143344226
female,17,-1.171543719171707,-1.1715351397883893,-1.1723606004568181
female,18,-1.3732162575519802,-1.3731893656601373,-1.374014826328566
female,19,-1.547796198386147,-1.5477780455243053,-1.5486035061927341
female,20,-1.713038255036007,-1.7130490620894316,-1.7138745227578605
female,21,-1.9760711744233987,-1.9760055839574715,-1.9768310446259003
female,22,-2.1110103940221485,-2.110990764082314,-2.111816224750743
female,23,-2.215078793347339,-2.2151032829174304,-2.2159287435858595
female,24,-2.437972254523541,-2.437926957420879,-2.438752418089308
female,25,-2.5849108339856444,-2.5848694136678225,-2.5856948743362516
female,26,-2.6338076912822888,-2.6338625233207766,-2.6346879839892057
female,27,-2.8987191412898534,-2.8986100579629213,-2.8994355186313503
female,28,-2.898311050249029,-2.8983606110029503,-2.8991860716713793
female,29,-3.0732122574941236,-3.07317609310396,-3.074001553772389
female,30,-3.187683210146321,-3.1877043049774043,-3.1885297656458333
female,31,-3.4286443792241816,-3.42859576711164,-3.429421227780069
female,32,-3.614473851277158,-3.61433561833635,-3.6151610790047792
female,33,-3.4262991543798162,-3.4264111925894456,-3.4272366532578746
female,34,-3.603296154838236,-3.6033488276922347,-3.604174288360664
female,35,-4.152567578510128,-4.15210849751628,-4.1529339581847085
female,36,-3.670867820588962,-3.671154970708348,-3.671980431376777
female,37,-4.336422621306554,-4.336068746582041,-4.336894207250469
female,38,-4.378058342222988,-4.377928094835225,-4.378753555503653
female,39,-4.042111201909955,-4.042262877473453,-4.043088338141882
female,40,-4.192307900848496,-4.192196780447218,-4.193022241115647
female,41,-4.038572730286399,-4.038781286925529,-4.039606747593957
female,42,-4.856606520874939,-4.855973016643739,-4.856798477312168
female,43,-4.520202817487124,-4.520122082160958,-4.520947542829386
female,44,-3.9380328403186136,-3.9382330098353044,-3.9390584705037335
female,45,-3.9661094040790683,-3.9660962449072343,-3.9669217055756634
female,46,-3.9670131534731876,-3.9670806796035842,-3.9679061402720133
female,47,-4.33419204582781,-4.333932087837026,-4.334757548505455
female,48,-4.176130203848954,-4.176103287443481,-4.1769287481119095
female,49,-3.729809362780454,-3.7301900774619154,-3.7310155381303445
female,50,-9.210340371976182,-9.210340371976182,-9.21116583264461
female,51,-9.210340371976182,-9.210340371976182,-9.21116583264461
female,52,-9.210340371976182,-9.210340371976182,-9.21116583264461
