sex,age,disclosed,level,median_abs_gap,max_abs_gap
male,35,both,hs_or_less+nh_black,41.773083891744484,217.13501059297053
male,35,both,hs_or_less+nh_asian,26.624745124601688,192.2424813714401
male,35,both,hs_or_less+nh_aian,20.491784858136214,439.3970371347109
male,35,both,hs_or_less+nh_nhpi,32.889676529441104,2956.697085936375
male,35,both,hs_or_less+nh_twoplus,11.655509702629686,109.38711342644478
male,35,both,hs_or_less+nh_other,24.809818579037128,246.8970019133474
male,35,both,some_college+hispanic,32.16708561244633,184.17318284062384
male,35,both,some_college+nh_white,20.811467462745796,68.80759624702097
male,35,both,some_college+nh_black,39.764931149307934,194.74859793156602
male,35,both,some_college+nh_asian,32.89804146978929,248.01131496474946
male,35,both,some_college+nh_aian,20.70438748790758,367.94011872474186
male,35,both,some_college+nh_nhpi,29.055041981894107,2075.234065276655
male,35,both,some_college+nh_twoplus,9.648866308375673,86.52132545708236
male,35,both,some_college+nh_other,23.253679626581913,172.2691582017863
male,35,both,bachelors+hispanic,31.83616974905297,168.07581422044845
male,35,both,bachelors+nh_white,16.112757018500574,72.54147932720198
male,35,both,bachelors+nh_black,40.8362986195021,152.23594532754248
male,35,both,bachelors+nh_asian,44.010341993439425,348.016287518638
male,35,both,bachelors+nh_aian,19.233692172938177,305.72541430343995
male,35,both,bachelors+nh_nhpi,28.801263606165875,2198.279939265744
male,35,both,bachelors+nh_twoplus,11.212396077840424,75.04887698914938
male,35,both,bachelors+nh_other,29.578578567296873,284.7783117118906
male,35,both,graduate+hispanic,31.794491659954446,135.58160140313188
male,35,both,graduate+nh_white,16.49284034856546,86.87587676059808
male,35,both,graduate+nh_black,41.00737965132369,140.5907905488507
male,35,both,graduate+nh_asian,47.48455448838562,415.7307625662154
male,35,both,graduate+nh_aian,21.84098216739008,289.8574242117981
male,35,both,graduate+nh_nhpi,31.242230623640253,1667.096231708933
male,35,both,graduate+nh_twoplus,14.421021068071099,68.59619043269745
male,35,both,graduate+nh_other,36.781201130281204,212.32381596813633
male,40,edu,hs_or_less,5.716035618370995,34.26079172529202
male,40,edu,some_college,5.189086103850613,21.15411760454846
male,40,edu,bachelors,7.679834933750271,45.63834755050681
male,40,edu,graduate,14.616739884408943,63.8893140540051
male,40,race,hispanic,33.62927937233218,188.2823338969447
male,40,race,nh_white,20.81154771058712,66.51716939200335
male,40,race,nh_black,39.33322791987908,161.21098800791333
male,40,race,nh_asian,36.86782951454168,293.1356626704475
male,40,race,nh_aian,20.94612965832343,529.5372755446023
male,40,race,nh_nhpi,32.04111986500594,442.5964967332059
male,40,race,nh_twoplus,8.70211382085337,82.291415687428
male,40,race,nh_other,29.143913531906108,146.94523464968586
male,40,both,hs_or_less+hispanic,35.704016679850724,201.27577891381827
male,40,both,hs_or_less+nh_white,23.167992461050616,76.27323759455125
male,40,both,hs_or_less+nh_black,39.38509516681259,171.8840099086874
male,40,both,hs_or_less+nh_asian,29.934578293430008,247.20787757379082
male,40,both,hs_or_less+nh_aian,21.72896009637725,597.3810348917242
male,40,both,hs_or_less+nh_nhpi,34.235951736721105,623.9132585473141
male,40,both,hs_or_less+nh_twoplus,10.112734457307766,93.77081952335546
male,40,both,hs_or_less+nh_other,30.03480931612367,207.68715021530932
male,40,both,some_college+hispanic,32.772546301194794,184.07134360405433
male,40,both,some_college+nh_white,21.79271507456461,83.39288013615696
male,40,both,some_college+nh_black,39.921507414453174,166.5149664115623
male,40,both,some_college+nh_asian,32.31018907100326,252.53242966155244
male,40,both,some_college+nh_aian,20.38422905206029,563.1690055110174
male,40,both,some_college+nh_nhpi,32.72540147069823,464.3943764350269
male,40,both,some_college+nh_twoplus,9.234307427790185,84.66424547074719
male,40,both,some_college+nh_other,27.78730912062167,175.13486760306995
male,40,both,bachelors+hispanic,30.892912455755784,175.1697076727624
male,40,both,bachelors+nh_white,18.318432795928558,77.11599981891263
male,40,both,bachelors+nh_black,39.067010631828,146.7953750315447
male,40,both,bachelors+nh_asian,41.84365363568417,325.33982350381507
male,40,both,bachelors+nh_aian,21.521706567674755,380.4031281369363
male,40,both,bachelors+nh_nhpi,29.713051997203124,400.9011597511415
male,40,both,bachelors+nh_twoplus,9.885852254189615,68.55285988335326
male,40,both,bachelors+nh_other,35.48886673382964,123.7604111085885
male,40,both,graduate+hispanic,30.902944265003626,157.48480973799917
male,40,both,graduate+nh_white,17.58872427075434,98.3984196185113
male,40,both,graduate+nh_black,43.77251382707756,149.24546432636387
male,40,both,graduate+nh_asian,46.8761350714763,360.3319022693579
male,40,both,graduate+nh_aian,22.59883208334999,522.0626753832403
male,40,both,graduate+nh_nhpi,30.30593793491822,365.24381566704557
male,40,both,graduate+nh_twoplus,13.87344153451906,70.975115678984
male,40,both,graduate+nh_other,38.579346904061794,150.9087913593486
male,50,edu,hs_or_less,5.282869764536727,40.411662916077844
male,50,edu,some_college,4.369137397405225,21.027047720704743
male,50,edu,bachelors,8.723550355546124,49.61360175336406
male,50,edu,graduate,13.129694711996507,64.27482814120121
male,50,race,hispanic,39.245604498027284,245.65030025440893
male,50,race,nh_white,18.499510737039287,66.37792625540155
male,50,race,nh_black,39.33929296719451,167.80099988847235
male,50,race,nh_asian,37.70984882541502,336.29594293929387
male,50,race,nh_aian,18.012038650471553,396.6578728906083
male,50,race,nh_nhpi,27.829673236407814,503.3842261328147
male,50,race,nh_twoplus,6.82473932138258,76.47412557772994
male,50,race,nh_other,27.851886970569822,672.1529199643293
male,50,both,hs_or_less+hispanic,41.67188949813026,262.29567837819036
male,50,both,hs_or_less+nh_white,18.5512438068685,68.14411678283969
male,50,both,hs_or_less+nh_black,39.69424760684895,176.34515898458324
male,50,both,hs_or_less+nh_asian,33.21287511854034,301.2614275833917
male,50,both,hs_or_less+nh_aian,18.063465907670988,472.1860327186623
male,50,both,hs_or_less+nh_nhpi,30.65604376660842,613.7093320323792
male,50,both,hs_or_less+nh_twoplus,8.506063586945572,107.45968574084135
male,50,both,hs_or_less+nh_other,29.88084824373003,627.4372193925443
male,50,both,some_college+hispanic,34.629625589989345,228.5430195113433
male,50,both,some_college+nh_white,19.45223477568213,68.26623684382113
male,50,both,some_college+nh_black,39.24794277671316,165.6669460134905
male,50,both,some_college+nh_asian,34.4620348887748,325.8218317199654
male,50,both,some_college+nh_aian,18.46514732014299,347.526888264837
male,50,both,some_college+nh_nhpi,27.07577031589625,554.6602537782713
male,50,both,some_college+nh_twoplus,7.991402022996169,72.12632294333027
male,50,both,some_college+nh_other,27.028352102317797,997.448310087372
male,50,both,bachelors+hispanic,31.352030957868152,201.07877651067116
male,50,both,bachelors+nh_white,14.747644803741068,75.98488477141788
male,50,both,bachelors+nh_black,39.73376049579615,153.8841004952204
male,50,both,bachelors+nh_asian,43.634887911106624,358.24052896353595
male,50,both,bachelors+nh_aian,20.111340349366017,354.4827301633467
male,50,both,bachelors+nh_nhpi,32.00442011050186,1284.410293383185
male,50,both,bachelors+nh_twoplus,11.059551114193681,67.36444482209953
male,50,both,bachelors+nh_other,29.776867415898863,515.1049121007742
male,50,both,graduate+hispanic,30.452849593090747,185.01768656115598
male,50,both,graduate+nh_white,17.211449432803576,85.77536814145488
male,50,both,graduate+nh_black,42.390589488766764,168.2957716386514
male,50,both,graduate+nh_asian,46.83262593698415,375.53548926948775
