sex_s,gap,raw_log_mult,smoothed_log_mult,gauged_log_mult
female,-45,-8.264277204303406,-8.259747409516768,-8.261360014894796
female,-44,-7.0958435341937145,-7.095527487602772,-7.097140092980801
female,-43,-6.223176363313449,-6.223591841351096,-6.225204446729125
female,-42,-7.272024491046366,-7.2703190237849515,-7.271931629162981
female,-41,-5.856850798865827,-5.857096926567525,-5.858709531945554
female,-40,-5.896938877675724,-5.897189720006061,-5.89880232538409
female,-39,-7.2039989754116185,-7.201465242648489,-7.203077848026518
female,-38,-5.459563658451629,-5.4598744720575825,-5.461487077435612
female,-37,-5.620608253278813,-5.620503042209498,-5.622115647587528
female,-36,-5.489790114752328,-5.489639763626464,-5.491252369004493
female,-35,-5.066762585849763,-5.066947438615917,-5.068560043993946
female,-34,-5.310022520959128,-5.30997159933974,-5.311584204717769
female,-33,-5.418301025898819,-5.418341569997381,-5.41995417537541
female,-32,-5.663970695901777,-5.663372876397187,-5.664985481775216
female,-31,-4.770328214692226,-4.770640700194516,-4.772253305572545
female,-30,-5.205559301853818,-5.205317048030562,-5.206929653408591
female,-29,-5.027908919990589,-5.0278633478944945,-5.029475953272524
female,-28,-4.782734571185293,-4.782814134798779,-4.784426740176809
female,-27,-4.811967275954819,-4.8119510704659225,-4.813563675843952
female,-26,-4.793690820154275,-4.793514962618695,-4.795127567996724
female,-25,-4.377109077013909,-4.377312528427291,-4.37892513380532
female,-24,-4.69203785164835,-4.691612884636862,-4.693225490014891
female,-23,-4.06195946189281,-4.062140688342884,-4.0637532937209135
female,-22,-4.154057446196664,-4.153908339940005,-4.155520945318035
female,-21,-3.8625253033452975,-3.862514108711129,-3.8641267140891578
female,-20,-3.627666995199004,-3.6276546221017596,-3.6292672274797884
female,-19,-3.4224844240252335,-3.422495744111656,-3.4241083494896847
female,-18,-3.293172747089051,-3.293132633440324,-3.294745238818353
female,-17,-3.089648083091908,-3.0896436969889556,-3.0912563023669843
female,-16,-2.9229134664712637,-2.922904516225276,-2.9245171216033046
female,-15,-2.7693718921299277,-2.7693386560550777,-2.7709512614331064
female,-14,-2.566554952726092,-2.5665283451649605,-2.5681409505429893
female,-13,-2.3480689519037794,-2.348028074359655,-2.349640679737684
female,-12,-2.0879561887123104,-2.0879750076785584,-2.089587613056587
female,-11,-1.942306070412661,-1.9422059987027505,-1.9438186040807794
female,-10,-1.5964642011672272,-1.5965076388866362,-1.5981202442646651
female,-9,-1.459332131983391,-1.4592964107736115,-1.4609090161516405
female,-8,-1.2574310793806796,-1.2573752183371727,-1.2589878237152017
female,-7,-0.9673986662670938,-0.9673999087154113,-0.9690125140934402
female,-6,-0.7535691759176321,-0.7535092271649184,-0.7551218325429474
female,-5,-0.4422550826470775,-0.44224756576592283,-0.4438601711439518
female,-4,-0.1892627898471903,-0.18919362777855875,-0.1908062331565877
female,-3,0.17141092734065877,0.17149810275413438,0.16988549737610542
female,-2,0.6271126515098793,0.6272621630482965,0.6256495576702675
female,-1,1.2392041480469171,1.2393086606196448,1.2376960552416159
female,0,1.8340437850871267,1.8338743173533383,1.8322617119753093
female,1,1.7902254367094197,1.7901855940930995,1.7885729887150705
female,2,1.597890521934381,1.5979072258466855,1.5962946204686566
female,3,1.3964186629754356,1.3964293690585672,1.3948167636805382
female,4,1.1559319851948373,1.1559681678952043,1.1543555625171753
