sex_s,race_s,race_c,edu_s,edu_c,multiplier,log,sides_alloc
male,nh_white,nh_white,graduate,bachelors,0.9588,-0.04209,16848.8
male,nh_white,nh_white,graduate,graduate,0.8972,-0.1085,21625.7
male,nh_white,nh_black,hs_or_less,hs_or_less,0.781,-0.2472,465.5
male,nh_white,nh_black,hs_or_less,some_college,0.9734,-0.02691,425.8
male,nh_white,nh_black,hs_or_less,bachelors,1.2509,0.22386,169.7
male,nh_white,nh_black,hs_or_less,graduate,1.3466,0.29759,94.0
male,nh_white,nh_black,some_college,hs_or_less,0.7896,-0.23621,235.9
male,nh_white,nh_black,some_college,some_college,0.8006,-0.22237,503.8
male,nh_white,nh_black,some_college,bachelors,1.2279,0.20529,281.3
male,nh_white,nh_black,some_college,graduate,1.15,0.13981,132.5
male,nh_white,nh_black,bachelors,hs_or_less,0.8862,-0.1208,131.6
male,nh_white,nh_black,bachelors,some_college,0.9676,-0.03289,279.8
male,nh_white,nh_black,bachelors,bachelors,1.1127,0.10681,432.7
male,nh_white,nh_black,bachelors,graduate,1.0146,0.01447,231.0
male,nh_white,nh_black,graduate,hs_or_less,0.9722,-0.02815,52.1
male,nh_white,nh_black,graduate,some_college,0.9416,-0.06018,93.9
male,nh_white,nh_black,graduate,bachelors,1.0675,0.06536,161.8
male,nh_white,nh_black,graduate,graduate,0.9227,-0.08046,217.2
male,nh_white,nh_asian,hs_or_less,hs_or_less,0.5719,-0.55871,484.2
male,nh_white,nh_asian,hs_or_less,some_college,0.6492,-0.43206,420.1
male,nh_white,nh_asian,hs_or_less,bachelors,0.7284,-0.31691,491.1
male,nh_white,nh_asian,hs_or_less,graduate,0.5363,-0.62311,154.3
male,nh_white,nh_asian,some_college,hs_or_less,1.0077,0.00768,441.0
male,nh_white,nh_asian,some_college,some_college,0.9165,-0.08722,885.4
male,nh_white,nh_asian,some_college,bachelors,0.9195,-0.08392,1102.9
male,nh_white,nh_asian,some_college,graduate,0.6949,-0.36399,415.5
male,nh_white,nh_asian,bachelors,hs_or_less,1.4691,0.38464,320.0
male,nh_white,nh_asian,bachelors,some_college,1.3427,0.29465,606.3
male,nh_white,nh_asian,bachelors,bachelors,1.0551,0.05367,2278.7
male,nh_white,nh_asian,bachelors,graduate,1.0093,0.00923,1382.5
male,nh_white,nh_asian,graduate,hs_or_less,1.7948,0.58488,155.3
male,nh_white,nh_asian,graduate,some_college,1.7408,0.55433,265.3
male,nh_white,nh_asian,graduate,bachelors,1.3625,0.30934,1059.2
male,nh_white,nh_asian,graduate,graduate,1.3122,0.27167,1723.5
male,nh_white,nh_aian,hs_or_less,hs_or_less,1.2138,0.19373,337.1
male,nh_white,nh_aian,hs_or_less,some_college,1.2404,0.21539,231.3
male,nh_white,nh_aian,hs_or_less,bachelors,1.4128,0.34555,64.3
male,nh_white,nh_aian,hs_or_less,graduate,1.1942,0.17751,21.3
male,nh_white,nh_aian,some_college,hs_or_less,1.0894,0.08565,154.8
male,nh_white,nh_aian,some_college,some_college,0.9127,-0.09135,235.1
male,nh_white,nh_aian,some_college,bachelors,1.3151,0.27389,92.1
male,nh_white,nh_aian,some_college,graduate,1.2258,0.20362,34.0
male,nh_white,nh_aian,bachelors,hs_or_less,0.6991,-0.35794,34.8
male,nh_white,nh_aian,bachelors,some_college,0.8064,-0.2152,87.4
male,nh_white,nh_aian,bachelors,bachelors,0.9243,-0.07872,95.6
male,nh_white,nh_aian,bachelors,graduate,1.0159,0.01582,43.9
male,nh_white,nh_aian,graduate,hs_or_less,0.9639,-0.0368,22.0
male,nh_white,nh_aian,graduate,some_college,0.7298,-0.31501,18.0
male,nh_white,nh_aian,graduate,bachelors,0.8134,-0.20652,25.7
male,nh_white,nh_aian,graduate,graduate,0.8095,-0.21139,28.7
male,nh_white,nh_nhpi,hs_or_less,hs_or_less,0.8283,-0.18833,33.4
