sex_s,cohort,gap,raw_log_mult,smoothed_log_mult,gauged_log_mult
male,18-70,3,1.0898052286793998,1.1028643700415166,1.0962676855645144
male,18-70,4,0.9295987470451398,0.9508771064909483,0.944280422013946
male,18-70,5,0.8208910344648639,0.8157401164235901,0.8091434319465879
male,18-70,6,0.6416123396165991,0.6840808366764468,0.6774841521994446
male,18-70,7,0.6182907941412765,0.5898851624094573,0.5832884779324551
male,18-70,8,0.4400902618355741,0.46924016639763594,0.46264348192063365
male,18-70,9,0.3557318533636245,0.36169961820241087,0.3551029337254086
male,18-70,10,0.275781759887481,0.2589092363176099,0.25231255184060764
male,18-70,11,0.08290076994646726,0.13424035062510353,0.12764366614810124
male,18-70,12,0.08397929727861779,0.05527156805097749,0.04867488357397522
male,18-70,13,-0.05090455438172115,-0.0824123752825748,-0.08900905975957708
male,18-70,14,-0.4070231785605299,-0.3049776026746517,-0.311574287151654
male,18-70,15,-0.41634222887506656,-0.3974720168489689,-0.40406870132597117
male,18-70,16,-0.3730828907677997,-0.3934758442292284,-0.40007252870623067
male,18-70,17,-0.4017940403048186,-0.4570363233022414,-0.4636330077792437
male,18-70,18,-0.718442240329989,-0.6214784211698968,-0.6280751056468991
male,18-70,19,-0.6639708735836558,-0.7090289591968959,-0.7156256436738981
male,18-70,20,-0.8493092886829261,-0.7867846258392821,-0.7933813103162843
male,18-70,21,-0.7728735059418745,-0.8178169529572334,-0.8244136374342357
male,18-70,22,-0.9144321565487824,-0.871983307135343,-0.8785799916123452
male,18-70,23,-0.8730340507387845,-0.9115295797477507,-0.918126264224753
male,18-70,24,-1.0041410310833967,-1.0184737500121268,-1.025070434489129
male,18-70,25,-1.2554150987043402,-1.1453710535832287,-1.151967738060231
male,18-70,26,-1.0897581685228772,-1.0841451470924228,-1.090741831569425
male,18-70,27,-0.9098513785243201,-1.0255686800313473,-1.0321653645083495
male,18-70,28,-1.253454587099358,-1.2089668135176046,-1.2155634979946068
male,18-70,29,-1.53356633769451,-1.4205774760745364,-1.4271741605515387
male,18-70,30,-1.4017957080376084,-1.44431990493366,-1.4509165894106621
male,18-70,31,-1.4677085232036389,-1.4836521212165856,-1.4902488056935879
male,18-70,32,-1.6318971611920086,-1.5518877173199765,-1.5584844017969788
male,18-70,33,-1.4646017019321083,-1.538852150375197,-1.5454488348521993
male,18-70,34,-1.6296822106129667,-1.637942873577152,-1.6445395580541542
male,18-70,35,-1.8955824673254427,-1.8466634484209952,-1.8532601328979974
male,18-70,36,-2.1216237758620298,-1.9010505006840681,-1.9076471851610703
male,18-70,37,-1.4830404614578234,-1.7356146353239645,-1.7422113198009668
male,18-70,38,-2.1637010063261397,-1.9625207841454617,-1.969117468622464
male,18-70,39,-2.253343711200634,-2.3113157961368684,-2.3179124806138707
male,18-70,40,-3.0773987123388498,-2.6281686534021897,-2.634765337879192
male,18-70,41,-2.4105920961532177,-2.3327702070721887,-2.339366891549191
male,18-70,42,-1.6341607470821016,-1.923932197359654,-1.9305288818366562
male,18-70,43,-2.325681119984478,-2.041002532629057,-2.0475992171060593
male,18-70,44,-1.981872799811282,-2.257028561978458,-2.2636252464554603
male,18-70,45,-9.210340371976182,-3.0784523063972125,-3.0850489908742147
male,18-70,46,-3.704527788530202,-3.861722432522347,-3.8683191169993494
male,18-70,47,-3.739945325242027,-3.276176247269363,-3.2827729317463654
male,18-70,48,-2.022342830970721,-2.5424913181505753,-2.5490880026275775
male,18-70,49,-9.210340371976182,-2.2236281059140843,-2.2302247903910866
male,18-70,50,-0.5597035396935577,-1.265400288542215,-1.2719969730192173
male,18-70,51,-9.210340371976182,-1.3969830057326644,-1.4035796902096667
male,18-70,52,-9.210340371976182,-3.165740103587531,-3.1723367880645332
