sex_s,race_s,race_c,edu_s,edu_c,multiplier,log,sides_alloc
male,hispanic,nh_twoplus,bachelors,hs_or_less,1.07,0.06769,68.8
male,hispanic,nh_twoplus,bachelors,some_college,1.1102,0.10456,188.0
male,hispanic,nh_twoplus,bachelors,bachelors,1.1253,0.11804,330.9
male,hispanic,nh_twoplus,bachelors,graduate,1.2203,0.19913,171.5
male,hispanic,nh_twoplus,graduate,hs_or_less,0.9256,-0.07732,13.7
male,hispanic,nh_twoplus,graduate,some_college,1.0684,0.06619,54.1
male,hispanic,nh_twoplus,graduate,bachelors,1.0705,0.0681,106.1
male,hispanic,nh_twoplus,graduate,graduate,1.0331,0.03255,127.4
male,hispanic,nh_other,hs_or_less,hs_or_less,1.0853,0.08186,85.1
male,hispanic,nh_other,hs_or_less,some_college,0.9705,-0.02997,51.6
male,hispanic,nh_other,hs_or_less,bachelors,1.0195,0.01934,27.2
male,hispanic,nh_other,hs_or_less,graduate,1.0197,0.01949,12.5
male,hispanic,nh_other,some_college,hs_or_less,0.8902,-0.11635,20.9
male,hispanic,nh_other,some_college,some_college,1.0138,0.01369,57.4
male,hispanic,nh_other,some_college,bachelors,1.1177,0.11128,35.2
male,hispanic,nh_other,some_college,graduate,1.0,0.0,12.4
male,hispanic,nh_other,bachelors,hs_or_less,1.1616,0.14981,14.0
male,hispanic,nh_other,bachelors,some_college,0.9214,-0.08188,12.8
male,hispanic,nh_other,bachelors,bachelors,0.857,-0.15437,22.4
male,hispanic,nh_other,bachelors,graduate,0.9965,-0.00347,16.1
male,hispanic,nh_other,graduate,hs_or_less,1.0967,0.09234,5.5
male,hispanic,nh_other,graduate,some_college,1.0479,0.04679,6.8
male,hispanic,nh_other,graduate,bachelors,0.8766,-0.1317,5.6
male,hispanic,nh_other,graduate,graduate,0.9828,-0.01734,14.1
male,nh_white,hispanic,hs_or_less,hs_or_less,0.4801,-0.7338,3286.4
male,nh_white,hispanic,hs_or_less,some_college,0.8952,-0.11075,2657.5
male,nh_white,hispanic,hs_or_less,bachelors,1.2374,0.21302,1197.3
male,nh_white,hispanic,hs_or_less,graduate,1.3328,0.28729,416.4
male,nh_white,hispanic,some_college,hs_or_less,0.5734,-0.55619,2146.1
male,nh_white,hispanic,some_college,some_college,0.9035,-0.1015,4178.0
male,nh_white,hispanic,some_college,bachelors,1.4632,0.38065,2296.6
male,nh_white,hispanic,some_college,graduate,1.6722,0.51412,861.6
male,nh_white,hispanic,bachelors,hs_or_less,0.5662,-0.5688,960.6
male,nh_white,hispanic,bachelors,some_college,0.9007,-0.10462,2053.5
male,nh_white,hispanic,bachelors,bachelors,1.3572,0.30542,4032.0
