# Pew Research Center, "Intermarriage across the U.S. by metro area"
# (feature, May 18 2017), data endpoint
# https://www.pewresearch.org/wp-json/prc-api/v2/interactive?slug=intermarriage-map
# accessed 2026-09-16. Percent of newlyweds married to someone of a
# different race or ethnicity, 2011-2015 ACS; Pew includes only metros with
# at least 200 newlyweds in sample; "-" = not published for that group.
# msa_code is the CBSA code of Pew's (2015-vintage) delineation.
# VALIDATION REFERENCE ONLY (soft, directional): read by build.validate,
# never shipped in the artifact, never scored. Phase 3's gate is to
# REPRODUCE this table from PUMS couple linkage; the interim pairing rate is
# only checked for direction against it. (c) Pew Research Center, used as a
# factual reference with attribution.
msa_code,metro_name,total,whites,blacks,hisps,asians
17900,"Columbia, SC",12,8,-,-,-
18140,"Columbus, OH",11,6,-,-,-
18580,"Corpus Christi, TX",22,-,-,-,-
19100,"Dallas-Fort Worth-Arlington, TX",19,15,14,22,29
19380,"Dayton, OH",11,5,-,-,-
19660,"Deltona-Daytona Beach-Ormond Beach, FL",15,9,-,-,-
19740,"Denver-Aurora-Lakewood, CO",22,14,-,36,-
19780,"Des Moines-West Des Moines, IA",11,5,-,-,-
19820,"Detroit-Warren-Dearborn, MI",10,6,9,-,-
21340,"El Paso, TX",22,-,-,14,-
21660,"Eugene, OR",23,-,-,-,-
22180,"Fayetteville, NC",29,19,-,-,-
22220,"Fayetteville-Springdale-Rogers, AR-MO",17,11,-,-,-
23060,"Fort Wayne, IN",15,9,-,-,-
23420,"Fresno, CA",23,-,-,-,-
23540,"Gainesville, FL",22,-,-,-,-
24340,"Grand Rapids-Wyoming, MI",16,9,-,-,-
24660,"Greensboro-High Point, NC",9,5,-,-,-
24860,"Greenville-Anderson-Mauldin, SC",6,3,-,-,-
25420,"Harrisburg-Carlisle, PA",16,9,-,-,-
25540,"Hartford-West Hartford-East Hartford, CT",17,11,-,-,-
25860,"Hickory-Lenoir-Morganton, NC",10,-,-,-,-
46520,"Honolulu, HI",42,34,-,-,32
26420,"Houston-The Woodlands-Sugar Land, TX",19,19,11,19,22
26900,"Indianapolis-Carmel-Anderson, IN",11,6,-,-,-
27140,"Jackson, MS",3,-,-,-,-
27260,"Jacksonville, FL",16,10,-,-,-
28020,"Kalamazoo-Portage, MI",20,-,-,-,-
28140,"Kansas City, MO-KS",13,7,-,-,-
28940,"Knoxville, TN",12,6,-,-,-
29180,"Lafayette, LA",9,5,-,-,-
29460,"Lakeland-Winter Haven, FL",15,10,-,-,-
29540,"Lancaster, PA",11,-,-,-,-
29620,"Lansing-East Lansing, MI",11,6,-,-,-
29820,"Las Vegas-Henderson-Paradise, NV",31,26,-,30,-
30780,"Little Rock-North Little Rock-Conway, AR",14,4,-,-,-
31080,"Los Angeles-Long Beach-Anaheim, CA",22,23,30,16,24
