cbsa,slug,status,page_title,file_title,source_url,image_url,author,license,license_url,retrieved,sha256,file
29340,lake-charles-louisiana,download_failed,,,,,,,,,,
46340,tyler-texas,ok,"Tyler,_Texas",File:Tyler_May_2016_42_(People's_Petroleum_Building_and_Plaza_Tower).jpg,https://commons.wikimedia.org/wiki/File:Tyler_May_2016_42_(People%27s_Petroleum_Building_and_Plaza_Tower).jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/2/2e/Tyler_May_2016_42_%28People%27s_Petroleum_Building_and_Plaza_Tower%29.jpg/1920px-Tyler_May_2016_42_%28People%27s_Petroleum_Building_and_Plaza_Tower%29.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Michael Barera,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,2026-09-17,c89b9c50bc1aa72d1422ddf28c65633a4d52ff644704dbb5e6df4aba24a3d410,tyler-texas.jpg
16580,champaign-illinois,download_failed,,,,,,,,,,
31420,macon-georgia,ok,"Macon,_Georgia",File:Macon_Georgia_Aerial_(52700955029).jpg,https://commons.wikimedia.org/wiki/File:Macon_Georgia_Aerial_(52700955029).jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/8/85/Macon_Georgia_Aerial_%2852700955029%29.jpg/1920px-Macon_Georgia_Aerial_%2852700955029%29.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail,formulanone,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,2026-09-17,93c5b6f4c4ae3a34334003c12eb3333fc703dc4d2163aeab4810b8795a43cd1f,macon-georgia.jpg
45820,topeka-kansas,ok,"Topeka,_Kansas",File:Kansas_Capitol.jpg,https://commons.wikimedia.org/wiki/File:Kansas_Capitol.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/f/f4/Kansas_Capitol.jpg/1920px-Kansas_Capitol.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Srudisell,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,2026-09-17,deede8ef496f2a60c2eb129b4e26f2d4c70386648d2a9e5a19d6af1826aebd79,topeka-kansas.jpg
12700,barnstable-town-massachusetts,ok,"Barnstable,_Massachusetts","File:Barnstable_County_Courthouse,_Barnstable_MA.jpg","https://commons.wikimedia.org/wiki/File:Barnstable_County_Courthouse,_Barnstable_MA.jpg",https://thumb.wikimedia.org/wikipedia/commons/thumb/4/4a/Barnstable_County_Courthouse%2C_Barnstable_MA.jpg/1920px-Barnstable_County_Courthouse%2C_Barnstable_MA.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail,John Phelan,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,2026-09-17,0b422033d9784e4d453c2714fe1d3798619cffdd38368e3ae84cf9b32b35b806,barnstable-town-massachusetts.jpg
13380,bellingham-washington,ok,"Bellingham,_Washington","File:Bellingham,_Washington_(cropped).jpg","https://commons.wikimedia.org/wiki/File:Bellingham,_Washington_(cropped).jpg",https://thumb.wikimedia.org/wikipedia/commons/thumb/b/b4/Bellingham%2C_Washington_%28cropped%29.jpg/1920px-Bellingham%2C_Washington_%28cropped%29.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Quintin Soloviev,CC BY 4.0,https://creativecommons.org/licenses/by/4.0,2026-09-17,a3f682842ac1a78bacffce99f1d2717b12e52a16437de546e3221326a199f8f3,bellingham-washington.jpg
22900,fort-smith-arkansas,ok,"Fort_Smith,_Arkansas","File:Fort_Smith,_AR_002.jpg","https://commons.wikimedia.org/wiki/File:Fort_Smith,_AR_002.jpg",https://thumb.wikimedia.org/wikipedia/commons/thumb/2/27/Fort_Smith%2C_AR_002.jpg/1920px-Fort_Smith%2C_AR_002.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Brandonrush,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,2026-09-17,e6fbf838c63b95372c1456adea76ff4984c0122aa40b452dfe1815dd8fec4700,fort-smith-arkansas.jpg
40340,rochester-minnesota,ok,"Rochester,_Minnesota","File:Downtown_Rochester,_MN-Peace_Plaza.jpg","https://commons.wikimedia.org/wiki/File:Downtown_Rochester,_MN-Peace_Plaza.jpg",https://upload.wikimedia.org/wikipedia/commons/6/62/Downtown_Rochester%2C_MN-Peace_Plaza.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,cjohnson7,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,2026-09-17,0a67d0b7fc093a0cf1f2c269636fae7318c46ea9429b778841a802431c5e8d5e,rochester-minnesota.jpg
15540,burlington-vermont,ok,"Burlington,_Vermont",File:View_of_the_Burlington_Marketplace_2017-10-01.jpg,https://commons.wikimedia.org/wiki/File:View_of_the_Burlington_Marketplace_2017-10-01.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/6/65/View_of_the_Burlington_Marketplace_2017-10-01.jpg/1920px-View_of_the_Burlington_Marketplace_2017-10-01.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Carol M. Highsmith,Public domain,,2026-09-17,e5716dd502333d6aca1080c0378726737dd5789aef23d981c7b6afe60d60a1a8,burlington-vermont.jpg
25940,hilton-head-island-south-carolina,ok,"Hilton_Head_Island,_South_Carolina",File:Hilton_Head_Island_Lighthouse_June_2026.png,https://commons.wikimedia.org/wiki/File:Hilton_Head_Island_Lighthouse_June_2026.png,https://thumb.wikimedia.org/wikipedia/commons/thumb/b/bb/Hilton_Head_Island_Lighthouse_June_2026.png/1920px-Hilton_Head_Island_Lighthouse_June_2026.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Locust member,CC BY 4.0,https://creativecommons.org/licenses/by/4.0,2026-09-17,d285b45ed5f20ee9659b590d9bfab485c39f6fb883602f13b041dd71a89ce1c8,hilton-head-island-south-carolina.png
29200,lafayette-indiana,ok,"Lafayette,_Indiana",File:Lafayette.downtown.Riehle.Plaza.JPG,https://commons.wikimedia.org/wiki/File:Lafayette.downtown.Riehle.Plaza.JPG,https://thumb.wikimedia.org/wikipedia/commons/thumb/c/c5/Lafayette.downtown.Riehle.Plaza.JPG/1920px-Lafayette.downtown.Riehle.Plaza.JPG?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Qsthomson at English Wikipedia,CC0,http://creativecommons.org/publicdomain/zero/1.0/deed.en,2026-09-17,5564fcd5a288a6e0e04646ab4c97bd77d9ddf3ecb919cad5507476ab6c4e9900,lafayette-indiana.jpg
16820,charlottesville-virginia,ok,"Charlottesville,_Virginia","File:Charlottesville,_Virginia.jpg","https://commons.wikimedia.org/wiki/File:Charlottesville,_Virginia.jpg",https://thumb.wikimedia.org/wikipedia/commons/thumb/4/4d/Charlottesville%2C_Virginia.jpg/1920px-Charlottesville%2C_Virginia.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Quintin Soloviev,CC BY 4.0,https://creativecommons.org/licenses/by/4.0,2026-09-17,e262bb5773f5d2235149fff1418e95089bdd3ab9c2997af79a77c6ef9883bc0a,charlottesville-virginia.jpg
29740,las-cruces-new-mexico,ok,"Las_Cruces,_New_Mexico",File:NMSU_BransonLibrary.jpg,https://commons.wikimedia.org/wiki/File:NMSU_BransonLibrary.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/e/ea/NMSU_BransonLibrary.jpg/1920px-NMSU_BransonLibrary.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Terry Umbenhaur,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,2026-09-17,f722c7f6d14360a9b5953dd771257f4edb70791513ba488374a4a2ec4d4a87d3,las-cruces-new-mexico.jpg
33740,monroe-louisiana,download_failed,,,,,,,,,,
32780,medford-oregon,download_failed,,,,,,,,,,
