cbsa,year,agencies,agencies_full_year,covered_pop,coverage,violent_per_100k,property_per_100k,agency_pop_over_census,zero_pop_offense_share
32780,2023,12,11,220416.0,0.9891533121216337,292.62848432055745,2467.153019744483,0.9891533121216337,0.004256015714519562
32780,2024,12,11,221602.0,0.9944756835836703,351.9823828304799,2356.476927103546,0.9964278181418371,0.007605820105820105
32780,2025,12,10,217046.0,0.974029878877904,324.81593763534,2176.0364162435612,0.9890904848025203,0.0060428492950009155
32820,2021,51,33,1309923.0,0.9760919099395169,1431.6872060418818,3522.573464241791,1.0158033022552535,0.007766990291262136
32820,2022,51,38,1303254.0,0.9711224904031115,1372.2574417573244,4425.230998715523,1.0026312481024515,0.009841823161702071
32820,2023,51,38,1299759.0,0.9685181837184906,1443.344496941356,5109.100994876742,0.9981305292540652,0.008844819961362103
32820,2024,51,36,1287566.0,0.9594325438313427,1391.0743216270077,4138.661629772765,0.9969941722600604,0.006419291366053113
32820,2025,51,37,1299032.0,0.9679764581220045,1035.2323884246116,3009.0097857481574,0.9990582436524494,0.005734400726735933
32900,2021,12,0,0.0,0.0,,,0.961288278702355,0.0
32900,2022,12,12,291601.0,1.0,623.454652075953,2282.9139817764685,1.0041253017358636,0.02395485431302545
32900,2023,12,12,295444.0,1.0,547.3118425149944,2058.9350266040265,1.0173586361022442,0.022966628600431416
32900,2024,12,12,300226.0,1.0,524.2717153078015,2065.777114573688,1.0338254081397231,0.023606228026117528
32900,2025,12,12,299894.0,1.0,477.83550187732993,1837.6493027536399,1.0326821692613368,0.017682840571509408
33100,2021,132,14,1890267.0,0.3024372836535157,195.68664109355979,1105.716811434575,0.985388367525788,0.03183911212562478
33100,2022,132,73,3939887.0,0.6303705890129802,351.8375019385074,1873.6831792383894,0.9799556651792649,0.013145603313412342
33100,2023,132,71,4543116.0,0.7268854941459728,364.08931667164126,2103.027965827859,0.9838304755290836,0.012901918995323605
33100,2024,132,68,4805339.0,0.7688404200011435,316.10673045127515,1881.552997613696,1.0093807362600795,0.012871324147987511
33100,2025,132,71,4905571.0,0.7848772517371677,280.41587819236537,1524.246616754706,1.0298053291255704,0.01485578207068459
33140,2021,10,3,99279.0,0.8853682680388467,299.15692140331794,2148.4906173511017,0.9795956587266906,0.0
33140,2022,10,3,102582.0,0.9148243603577894,204.71427735860092,1991.5774697315317,1.0047086941399945,0.0
33140,2023,10,3,101519.0,0.9053445462085202,224.58850067475052,1389.8876072459343,0.9941854761756129,0.0
