cbsa,cross_group_pairing_rate,cross_group_pairing_moe,cross_group_pairing_n
14020,0.13412492854563887,0.019523062734886805,1725.0853244838331
14260,0.1808257431072022,0.009287117814038506,7088.506543216926
14460,0.13876111116839193,0.003480520733346859,52352.63064949135
14500,0.20010135798273168,0.011279363405416944,4935.0123701123275
14540,0.12134544694808182,0.01715663843387148,1692.7467114195722
14580,0.14409227306826708,0.019369213902019847,1012.2690456760109
14740,0.27287863730669315,0.014545232346186371,3232.0874389898845
14860,0.15741171981527516,0.00749957251806812,9607.777096402191
15180,0.08254859678245086,0.008551229266158884,3297.101406022045
15260,0.15362839899203246,0.020679997879922255,1699.3502193161808
15380,0.10626779196753168,0.005287663038589688,11629.74415253256
15500,0.12717051842598376,0.014933513797990447,1585.4267226749116
15540,0.13106518933813885,0.015336714086611455,2260.8303962886057
15940,0.0950115218590763,0.010145357507568434,4260.431606471821
15980,0.1441856723663364,0.00838556434059655,7307.412463902919
16020,0.1140581259643571,0.01571104075433814,1657.0402464133263
16180,0.22728977571074907,0.01859718908814987,1264.566264159187
16220,0.1783486110627026,0.019236089602871858,1521.4366716512616
16300,0.10937213443937892,0.012836801659043884,2592.0424552473983
16540,0.10217921102458519,0.015133199040202,1471.6239523219501
16580,0.1372700532115733,0.015335686093241567,2520.9408637556508
16620,0.10251474845434638,0.012251412837152576,2144.4555138063765
16700,0.1450123532556602,0.0072976267252144325,6415.121774252104
16740,0.1300546819001543,0.0045633629829695,26746.803732932847
16820,0.15317041973618928,0.014038451453593089,2689.439105651315
16860,0.11373762624705293,0.008267065212035305,6076.254889172158
16940,0.230371415138693,0.025312513461449727,956.9458560497496
16980,0.15457075186794192,0.0028456501423819902,81052.90406116433
17020,0.24374723328906595,0.020247952528409753,1838.9312823010487
17140,0.11591595408942135,0.00425295633701534,20618.816208254546
17300,0.22287210549161446,0.01654582876424432,2944.9389887627995
17410,0.12551206944265797,0.004605676401853555,21916.476812691926
17420,0.1522931542177486,0.02069329882854103,1225.528551915483
17660,0.15801509445758793,0.016376914699430176,1503.3758538744537
17780,0.18549375953972735,0.015711758935349585,2669.6546612182433
17820,0.2660097295581237,0.008975837630343843,7636.266961696761
17860,0.15073166953788275,0.014516619149045753,2390.2945396467517
17900,0.12041904764691776,0.006766286463699712,7401.241771203356
17980,0.15886330747719185,0.012311773366767894,2910.7873629448977
18020,0.10485000863673877,0.01744426758669079,1259.6730311015585
18140,0.13293681432118817,0.004789274120100325,20829.926341194823
18580,0.20644502693032227,0.010462313655218384,4001.383554506586
18700,0.16724893106684732,0.020808206785753788,1158.440792208939
18880,0.2038859481936201,0.012074428574004438,3246.365095482531
19100,0.17693085428026611,0.003236947362741463,67057.78016211315
19140,0.10654517939505528,0.014992031449744281,1614.0237088870736
19300,0.11626423781004296,0.014546075538405666,1762.746762568771
19340,0.16177816448328525,0.013810980544690188,3977.6260233571165
19430,0.1309301878155414,0.008238925586296617,7521.662364305632
19460,0.11862800518737739,0.016453287183583035,1404.0917564938745
19500,0.10963035851801134,0.014117845567847186,1640.1108209201682
19660,0.1498564010879282,0.00870719842729976,5786.031097630456
19740,0.22207254162752968,0.005312191043480367,33446.575856250834
19780,0.11085882809056219,0.009592116105461294,5436.9744019448135
19820,0.12573278022039766,0.003957281842899137,36721.36859472884
20020,0.11927909063715225,0.013078212748927169,2292.4775589352394
20100,0.1717754717545381,0.023015647471967136,1287.5089047097606
20220,0.0704483900090279,0.012171609330589106,1767.5758264555493
20260,0.09542853040856361,0.007582147102179372,4028.791172592505
20500,0.16510541096453424,0.009112038969561408,5707.9826280040825
20580,0.09062660723469913,0.01637249684974533,724.4238184100702
20740,0.0778223070978318,0.012449970744011739,1601.279290286772
20940,0.09784595986130083,0.01576693964638797,1070.6725688446897
21060,0.13785939611251133,0.019462266172355917,1359.8790551724323
21140,0.11465315241676204,0.017418452504428576,1703.2697003933092
21300,0.11400875024450281,0.013223322954021528,2237.789894858934
21340,0.15237973997445584,0.009197616333317693,5760.11697296074
21420,0.2249484877910143,0.02256100828833316,916.899466096539
21500,0.10927828670462986,0.014537311113634724,2484.902201047634
21660,0.22230552687046443,0.011413650362424255,4024.8434720556575
21780,0.10307521808172171,0.011827737213475546,3156.403132000088
21820,0.270122343850612,0.027530718205483976,934.0302231565947
22020,0.12406118924277802,0.013803795288053863,1957.3337222821242
22140,0.22772043003288892,0.02985274919488648,837.3908349985497
22180,0.24478990888775776,0.012146592312978264,5893.085108968143
22220,0.17020782371360543,0.011049938610491649,5289.135282048858
22380,0.24510602007985424,0.02417407959211742,1312.3067908209446
22420,0.12721126926484266,0.010961281074521101,3754.33499693456
22500,0.08619775274573281,0.01147638692440212,1884.684261550695
22520,0.09350260951152291,0.012416975158763534,1616.5274917694933
22540,0.07102661823378792,0.013393347872650573,1482.5720553116032
22660,0.2000141361828451,0.013239028993036188,3817.0429421525478
22900,0.23202666913423228,0.013742025449781155,2424.8754684430655
23060,0.13625339863907315,0.008926339637624965,4969.4354601253835
23420,0.2067237844369917,0.00941524808900815,9146.47341150078
23460,0.0698641842057924,0.012550893246934458,1128.5459861545091
23540,0.2030932481212044,0.013128505605963578,2794.7991446088995
23580,0.10890548169732289,0.013027921800040797,2062.7464728558243
23900,0.08429030776297658,0.013462847626497345,1630.7310153010196
24020,0.09825685623831865,0.012702299374229493,1784.0105301954718
24140,0.12330411542207424,0.019776138425608217,930.6385248699629
24220,0.13156813667160866,0.01297815344470992,2437.1088785370516
24260,0.11023656864912676,0.020416434372256972,1119.6292080102014
24300,0.18229719788752652,0.017912091383902366,1613.8353185019505
24340,0.14232342509753154,0.006672078861110608,10237.687700464467
24420,0.2129329491566121,0.018152221923033392,1470.258233316514
24500,0.14585279433081036,0.014300686344839119,1651.2273676219438
24540,0.197013818301695,0.013794625377646641,3488.4649547942336
24580,0.11836649094364773,0.015782649723866896,2689.239502626351
24660,0.12556987932519806,0.008833920126924737,6264.011711140988
24780,0.12992197754119877,0.020227479122776674,1291.0162575047343
24860,0.12819799810640423,0.006475317180630975,9410.449040068868
25060,0.15833277343612256,0.010821507745266978,3728.354263105881
25180,0.13240543633868787,0.009530986241744656,3559.1000516952013
25220,0.12029932908997068,0.018962721210557153,951.9945107637951
25260,0.22049074472664656,0.025559026267786448,1142.1781126212934
25420,0.12975066263816373,0.010816272628058309,4991.6695375756
25500,0.11094170213667069,0.017697914005023387,1335.1964488751178
25540,0.14816367962452195,0.006326106672412533,12288.04001798394
25620,0.09424614529341557,0.017762767922448578,1241.2078442759073
25740,0.13905666177364295,0.011105324434822069,2031.0002596649822
25860,0.10601146967903782,0.00992529965642131,3710.476653238817
25940,0.12364286666152507,0.014834425663701481,1984.4842714623912
25980,0.21462011505653636,0.022381838937526863,1106.9888149686706
26140,0.14526489059061387,0.01595604287935936,1456.7867632073892
26300,0.14187196880589079,0.018549348931827876,1561.9698016909174
26380,0.14522845075128693,0.012805323028735865,2260.2367586438672
26420,0.16951743799359306,0.0036553832981703585,48278.991733153365
26580,0.07006197097594917,0.006776195125396843,4667.812514376704
26620,0.14876610315001074,0.011312767313965232,4306.985329346718
26820,0.14470766623733267,0.017365442400183135,2007.3262694652103
26900,0.1296839433969856,0.005438131846266815,16449.06715250593
26980,0.18132389193601933,0.021627146766110522,1255.1986886709392
27060,0.15660830388215932,0.02044637946193139,872.7599908021036
27100,0.1144482527119183,0.016602892861349555,1391.174745629058
27140,0.07820040880418522,0.008499353496275746,4486.655507575305
27180,0.1134889419136222,0.014352133516203772,1843.2121338944373
27260,0.18605746614697466,0.006440336223489851,12775.819103973747
27340,0.23294467152568857,0.021875306003890118,1513.866300534452
27500,0.12658053665621893,0.019069787204821564,1237.704235140466
27620,0.12159569990537705,0.015553592151968434,2417.5744466805127
27740,0.1168477882700664,0.0122817372489864,2206.917652218263
27780,0.0775021385799829,0.013764573306422848,1961.311573051648
27860,0.10094207255963118,0.015218481838673373,1122.0854097147148
