cbsa,offset
37980,-0.014951296018085317
38060,0.00035406347567352954
38240,0.0001107465502571033
38300,0.0
38340,0.049933754458435335
38540,0.0
38860,0.0
38900,-0.021523766146699225
38940,0.005842026833172316
39150,0.0
39300,-0.019320413523547485
39340,0.0
39380,0.0
39460,0.022156894069152486
39540,0.020881329543355514
39580,-0.001274078210233263
39660,0.011963529127189891
39740,0.009633593872130685
39820,0.0
39900,0.020193896642678844
40060,-0.03147990886223727
40140,-0.014611320984638776
40220,0.010755854542801702
40340,0.021514864891433703
40380,-0.004412223313832054
40420,0.015896546616545555
40580,0.0
40660,0.0
40900,0.0
40980,0.0021455546186089237
41060,0.025311534673439873
41100,0.016540719159074208
41140,0.04633698533158936
41180,-0.028365674218555584
41420,0.0
41500,0.0014210206048179087
41540,-0.026852000773689273
41620,0.008200472275214366
41660,0.0
41700,-0.0014060211672153817
41740,0.009660366095242224
41780,0.0
41860,-0.010900947598736678
41940,0.009851277106636577
42020,0.0
42100,0.011624636654422035
42140,0.024262299407275326
42200,0.0
42220,0.0
42340,-0.0012818281049426616
42540,0.009779629218136191
42660,-0.0007557915639465882
42680,0.016336387179672406
42700,-0.03195146525465193
43100,0.0351393514469273
43300,-0.032926136309093974
43340,-0.0026528711011975952
43420,0.0
43580,-0.032416582127279533
43620,-0.01082046448383767
43640,0.024582926334466883
43780,0.0
43900,0.01962339458419883
44060,0.011544653024294426
44100,0.00347986597629235
44140,0.015094709293124597
44180,-0.009050974596168989
44220,0.012253726332626945
44300,0.038129420133551715
44420,-0.002788024935772903
44700,0.01373853597328115
44940,-0.013864658021063578
45060,0.0038946590521679587
45220,-0.03158125470053258
45300,-0.002165724867782358
45460,0.020587491189215375
45500,-0.045298825851604184
45780,0.0
45820,0.029501023371977422
45900,0.015764682128765965
45940,0.0034844965223710667
46060,0.011445775410921013
46140,-0.02704341594916767
46220,-0.013672350012790753
46300,-0.03394432992425454
46340,-0.004744469802162933
46520,0.012813638165175285
46540,0.02363968975857927
46660,-0.018119946230325985
46700,0.024651037120636016
47020,-0.014802036652269453
47220,0.0016211301049196887
47260,-0.03013716119202629
47300,0.0
47380,0.019967935125696105
47460,-0.03229530430115633
47580,-0.004608902446666558
47900,0.0
47930,0.015549837685015845
47940,0.0
48060,0.04166934377929808
48140,0.010136466891544462
48260,-0.0809083068907145
48300,0.026413433854215407
48540,-0.04133551742135768
48620,0.011314130027212653
48660,0.008435235931892198
48680,0.013404782882263577
48700,0.028797723406490804
48900,0.009743163147140054
49020,-0.010849484551080717
49180,0.0
49340,0.0008678378108804148
49420,0.02501265245998786
49620,0.0
49660,-0.006670209634414015
49700,0.00866538922918274
49740,0.0016666571190296848
