sex_s,cohort,gap,raw_log_mult,smoothed_log_mult,gauged_log_mult
male,18-70,51,-9.210340371976182,-9.210340371976182,-9.211530879075005
male,18-70,52,-9.210340371976182,-9.210340371976182,-9.211530879075005
female,18-70,-52,-9.210340371976182,-9.210340371976182,-9.211502777142417
female,18-70,-51,-9.210340371976182,-9.210340371976182,-9.211502777142417
female,18-70,-50,-9.210340371976182,-9.210340371976182,-9.211502777142417
female,18-70,-49,-7.626261025623713,-7.626180028516518,-7.627342433682752
female,18-70,-48,-7.02973873139738,-7.029794434862371,-7.0309568400286055
female,18-70,-47,-6.87608835354438,-6.8755360178826574,-6.876698423048892
female,18-70,-46,-5.958767068506362,-5.959261779507659,-5.960424184673894
female,18-70,-45,-7.8031371247226575,-7.801508859452177,-7.802671264618412
female,18-70,-44,-7.627754888078023,-7.626746149548076,-7.627908554714311
female,18-70,-43,-6.286451936880336,-6.28681895941256,-6.287981364578795
female,18-70,-42,-6.783621738930418,-6.783100855691854,-6.784263260858089
female,18-70,-41,-6.148920312089754,-6.149099296158986,-6.1502617013252205
female,18-70,-40,-6.250992895084589,-6.251123179908605,-6.25228558507484
female,18-70,-39,-6.8505523714561045,-6.849209182356531,-6.8503715875227655
female,18-70,-38,-5.459503097542219,-5.459869016840742,-5.461031422006977
female,18-70,-37,-5.91793154633869,-5.917663101870058,-5.918825507036293
female,18-70,-36,-5.702403424325874,-5.702273774542326,-5.703436179708561
female,18-70,-35,-5.277442846055066,-5.277664782241738,-5.278827187407972
female,18-70,-34,-5.660615845279917,-5.660400810306323,-5.661563215472557
female,18-70,-33,-5.485746051219094,-5.485915668524726,-5.48707807369096
female,18-70,-32,-5.893206181186544,-5.892631542925382,-5.893793948091616
female,18-70,-31,-5.117571686952734,-5.117823122057581,-5.118985527223816
female,18-70,-30,-5.375581940607472,-5.3754654027674444,-5.376627807933679
female,18-70,-29,-5.312260864496553,-5.312156464961122,-5.313318870127357
female,18-70,-28,-5.012091894016206,-5.0121822251860255,-5.01334463035226
female,18-70,-27,-5.035148968646196,-5.0351087392494716,-5.036271144415706
female,18-70,-26,-4.946935684563059,-4.946865395666112,-4.948027800832347
female,18-70,-25,-4.70496799063467,-4.705097397449803,-4.706259802616038
female,18-70,-24,-4.895827111106255,-4.8954644791668525,-4.896626884333087
female,18-70,-23,-4.286111416892213,-4.286284033363605,-4.28744643852984
female,18-70,-22,-4.36589542353805,-4.36575803832687,-4.366920443493105
female,18-70,-21,-4.091866831516882,-4.091887568536655,-4.09304997370289
female,18-70,-20,-3.944881421066041,-3.944813604555501,-3.9459760097217362
female,18-70,-19,-3.6693962624564,-3.6694329007942104,-3.6705953059604455
female,18-70,-18,-3.560644185534847,-3.5606138433991195,-3.5617762485653546
female,18-70,-17,-3.394906144172546,-3.394865475061735,-3.39602788022797
female,18-70,-16,-3.1666634461766177,-3.1666693410659867,-3.167831746232222
female,18-70,-15,-3.008737977723873,-3.008694281825591,-3.009856686991826
female,18-70,-14,-2.77690333108054,-2.7768848511087887,-2.778047256275024
female,18-70,-13,-2.5567030151994796,-2.5566604895752634,-2.5578228947414985
female,18-70,-12,-2.28757765445531,-2.2875917958185585,-2.2887542009847937
female,18-70,-11,-2.1202187374295947,-2.120108381062374,-2.1212707862286093
female,18-70,-10,-1.7350193626974781,-1.735063640507627,-1.736226045673862
female,18-70,-9,-1.5709675324863706,-1.57093054262759,-1.572092947793825
female,18-70,-8,-1.3425851040224965,-1.342531904989632,-1.3436943101558672
female,18-70,-7,-1.0357213183574259,-1.0357116868621825,-1.0368740920284176
female,18-70,-6,-0.7794427783851635,-0.7793909160389186,-0.7805533212051537
female,18-70,-5,-0.45439137528983775,-0.4543730543679653,-0.4555354595342004
female,18-70,-4,-0.1622361436665725,-0.16217496518634228,-0.16333737035257737
female,18-70,-3,0.208745810636065,0.20883290458605822,0.20767049941982313
female,18-70,-2,0.6744750868401802,0.674622147146468,0.6734597419802328
female,18-70,-1,1.2904402920194187,1.2905454201441953,1.2893830149779602
female,18-70,0,1.8903093328687484,1.890141428064608,1.888979022898373
female,18-70,1,1.8561250873808672,1.8560849830273218,1.8549225778610867
female,18-70,2,1.6762370149544135,1.6762499039978997,1.6750874988316646
female,18-70,3,1.480970517389338,1.4809810737950415,1.4798186686288064
female,18-70,4,1.2517590265316758,1.2517923921424294,1.2506299869761943
female,18-70,5,1.054308910213233,1.054324427753585,1.05316202258735
female,18-70,6,0.842048550583412,0.8420712676631451,0.84090886249691
female,18-70,7,0.6336304677167215,0.6336570811842626,0.6324946760180274
female,18-70,8,0.4471000684942316,0.44711564944761795,0.4459532442813829
