sex_s,race_s,race_c,edu_s,edu_c,multiplier,log,sides_alloc
male,hispanic,nh_twoplus,some_college,some_college,1.0291,0.02867,577.4
male,hispanic,nh_twoplus,some_college,bachelors,1.0703,0.06793,272.1
male,hispanic,nh_twoplus,some_college,graduate,1.1343,0.12605,116.9
male,hispanic,nh_twoplus,bachelors,hs_or_less,1.0396,0.03884,68.8
male,hispanic,nh_twoplus,bachelors,some_college,1.1042,0.09911,188.0
male,hispanic,nh_twoplus,bachelors,bachelors,1.1384,0.12964,330.9
male,hispanic,nh_twoplus,bachelors,graduate,1.2523,0.22495,171.5
male,hispanic,nh_twoplus,graduate,hs_or_less,0.9111,-0.09305,13.7
male,hispanic,nh_twoplus,graduate,some_college,1.0654,0.06333,54.1
male,hispanic,nh_twoplus,graduate,bachelors,1.0754,0.07267,106.1
male,hispanic,nh_twoplus,graduate,graduate,1.052,0.05065,127.4
male,hispanic,nh_other,hs_or_less,hs_or_less,1.0761,0.07332,85.1
male,hispanic,nh_other,hs_or_less,some_college,0.9679,-0.03262,51.6
male,hispanic,nh_other,hs_or_less,bachelors,1.0234,0.02317,27.2
male,hispanic,nh_other,hs_or_less,graduate,1.0203,0.0201,12.5
male,hispanic,nh_other,some_college,hs_or_less,0.881,-0.12673,20.9
male,hispanic,nh_other,some_college,some_college,1.0094,0.00935,57.4
male,hispanic,nh_other,some_college,bachelors,1.1298,0.12202,35.2
male,hispanic,nh_other,some_college,graduate,1.0031,0.00308,12.4
male,hispanic,nh_other,bachelors,hs_or_less,1.163,0.15099,14.0
male,hispanic,nh_other,bachelors,some_college,0.917,-0.08661,12.8
male,hispanic,nh_other,bachelors,bachelors,0.8601,-0.15068,22.4
male,hispanic,nh_other,bachelors,graduate,1.0005,0.00045,16.1
male,hispanic,nh_other,graduate,hs_or_less,1.0995,0.09489,5.5
male,hispanic,nh_other,graduate,some_college,1.049,0.04784,6.8
male,hispanic,nh_other,graduate,bachelors,0.8754,-0.13303,5.6
male,hispanic,nh_other,graduate,graduate,0.9841,-0.01606,14.1
male,nh_white,hispanic,hs_or_less,hs_or_less,0.48,-0.73389,3286.4
male,nh_white,hispanic,hs_or_less,some_college,0.8863,-0.12073,2657.5
male,nh_white,hispanic,hs_or_less,bachelors,1.2551,0.22724,1197.3
male,nh_white,hispanic,hs_or_less,graduate,1.3576,0.30575,416.4
male,nh_white,hispanic,some_college,hs_or_less,0.5739,-0.55537,2146.1
male,nh_white,hispanic,some_college,some_college,0.8912,-0.11524,4178.0
male,nh_white,hispanic,some_college,bachelors,1.4796,0.39179,2296.6
male,nh_white,hispanic,some_college,graduate,1.7046,0.53335,861.6
male,nh_white,hispanic,bachelors,hs_or_less,0.5624,-0.57559,960.6
male,nh_white,hispanic,bachelors,some_college,0.8756,-0.13286,2053.5
male,nh_white,hispanic,bachelors,bachelors,1.3628,0.30954,4032.0
male,nh_white,hispanic,bachelors,graduate,1.6632,0.50874,1770.0
male,nh_white,hispanic,graduate,hs_or_less,0.6512,-0.42889,360.0
male,nh_white,hispanic,graduate,some_college,0.903,-0.10205,669.2
male,nh_white,hispanic,graduate,bachelors,1.2543,0.22656,1400.1
male,nh_white,hispanic,graduate,graduate,1.473,0.38733,1618.5
male,nh_white,nh_white,hs_or_less,hs_or_less,1.1705,0.15747,43374.3
male,nh_white,nh_white,hs_or_less,some_college,1.1403,0.1313,33185.9
male,nh_white,nh_white,hs_or_less,bachelors,1.0039,0.00391,15273.0
male,nh_white,nh_white,hs_or_less,graduate,0.9362,-0.06592,5924.6
male,nh_white,nh_white,some_college,hs_or_less,0.9217,-0.08157,18253.6
male,nh_white,nh_white,some_college,some_college,0.9266,-0.07628,40944.1
male,nh_white,nh_white,some_college,bachelors,1.0764,0.07361,26183.6
male,nh_white,nh_white,some_college,graduate,1.0697,0.06737,11003.0
male,nh_white,nh_white,bachelors,hs_or_less,0.8096,-0.21121,7224.1
male,nh_white,nh_white,bachelors,some_college,0.814,-0.20583,17136.4
male,nh_white,nh_white,bachelors,bachelors,1.0751,0.0724,48807.0
male,nh_white,nh_white,bachelors,graduate,1.1335,0.12532,24264.6
male,nh_white,nh_white,graduate,hs_or_less,0.7611,-0.27305,2246.0
male,nh_white,nh_white,graduate,some_college,0.724,-0.32296,5131.9
male,nh_white,nh_white,graduate,bachelors,0.9655,-0.0351,16848.8
male,nh_white,nh_white,graduate,graduate,0.9599,-0.04092,21625.7
male,nh_white,nh_black,hs_or_less,hs_or_less,0.7313,-0.31287,465.5
male,nh_white,nh_black,hs_or_less,some_college,0.9895,-0.01056,425.8
male,nh_white,nh_black,hs_or_less,bachelors,1.2982,0.26098,169.7
male,nh_white,nh_black,hs_or_less,graduate,1.368,0.31337,94.0
male,nh_white,nh_black,some_college,hs_or_less,0.6981,-0.35933,235.9
male,nh_white,nh_black,some_college,some_college,0.7668,-0.26556,503.8
male,nh_white,nh_black,some_college,bachelors,1.3593,0.30699,281.3
male,nh_white,nh_black,some_college,graduate,1.2516,0.22441,132.5
