cbsa,metro,rank_m3_1_0,rank_m3_2_0,move,index_m3_1_0,index_m3_2_0
41700,"San Antonio, TX",43,46,-3,92.91,93.4
21500,"Erie, PA",63,47,16,102.04,104.56
40060,"Richmond, VA",49,48,1,106.0,106.34
20500,"Durham, NC",47,49,-2,112.11,111.16
35300,"New Haven, CT",46,50,-4,102.91,102.21
42340,"Savannah, GA",52,51,1,104.0,104.45
17140,"Cincinnati, OH",50,52,-2,97.12,98.12
10580,"Albany, NY",48,53,-5,101.86,101.91
22020,"Fargo, ND",54,54,0,102.43,103.22
22660,"Fort Collins, CO",56,55,1,114.98,113.97
11460,"Ann Arbor, MI",57,56,1,117.29,114.92
36540,"Omaha, NE",59,57,2,97.99,99.02
17900,"Columbia, SC",64,58,6,108.27,109.33
41620,"Salt Lake City, UT",60,59,1,99.07,99.64
36420,"Oklahoma City, OK",55,60,-5,95.04,95.78
23540,"Gainesville, FL",62,61,1,111.39,111.56
40140,"Riverside, CA",61,62,-1,93.18,94.06
21340,"El Paso, TX",45,63,-18,95.05,93.87
40900,"Sacramento, CA",58,64,-6,92.82,93.4
45780,"Toledo, OH",65,65,0,94.87,96.43
13820,"Birmingham, AL",70,66,4,104.92,106.53
19780,"Des Moines, IA",66,67,-1,94.75,95.73
24660,"Greensboro, NC",69,68,1,103.23,103.89
45220,"Tallahassee, FL",72,69,3,110.23,109.14
29820,"Las Vegas, NV",67,70,-3,87.92,88.94
17780,"College Station, TX",73,71,2,108.95,108.12
17820,"Colorado Springs, CO",74,72,2,102.9,103.32
31140,"Louisville, KY",78,73,5,94.94,96.53
42200,"Santa Maria, CA",68,74,-6,99.76,99.27
19430,"Dayton, OH",80,75,5,96.77,98.43
45940,"Trenton, NJ",71,76,-5,103.32,102.79
42020,"San Luis Obispo, CA",83,77,6,101.61,102.56
24860,"Greenville, SC",79,78,1,97.32,98.57
48900,"Wilmington, NC",82,79,3,98.88,99.69
30780,"Little Rock, AR",84,80,4,98.92,100.02
30460,"Lexington, KY",77,81,-4,99.23,99.43
45060,"Syracuse, NY",87,82,5,94.3,95.96
27260,"Jacksonville, FL",76,83,-7,94.82,95.58
12100,"Atlantic City, NJ",81,84,-3,96.58,97.55
46060,"Tucson, AZ",75,85,-10,95.91,95.91
27140,"Jackson, MS",85,86,-1,104.24,105.55
10420,"Akron, OH",86,87,-1,96.35,97.97
24340,"Grand Rapids, MI",88,88,0,99.94,101.08
33860,"Montgomery, AL",93,89,4,105.71,107.76
26620,"Huntsville, AL",91,90,1,106.03,106.29
43620,"Sioux Falls, SD",95,91,4,96.69,98.5
21660,"Eugene, OR",90,92,-2,94.75,95.56
37340,"Palm Bay, FL",92,93,-1,96.19,96.68
28020,"Kalamazoo, MI",97,94,3,108.31,109.0
33660,"Mobile, AL",103,95,8,102.72,104.31
28880,"Kiryas Joel, NY",94,96,-2,101.23,101.58
14260,"Boise City, ID",98,97,1,94.8,95.94
49340,"Worcester, MA",99,98,1,96.06,97.03
25060,"Gulfport, MS",101,99,2,98.27,99.56
10740,"Albuquerque, NM",89,100,-11,94.12,93.82
38860,"Portland, ME",96,101,-5,99.45,99.69
35840,"North Port, FL",100,102,-2,93.56,94.7
44060,"Spokane, WA",109,103,6,93.42,95.27
10900,"Allentown, PA",102,104,-2,94.72,95.59
37900,"Peoria, IL",112,105,7,94.8,96.55
46220,"Tuscaloosa, AL",105,106,-1,112.72,113.4
29620,"Lansing, MI",108,107,1,98.93,99.73
29180,"Lafayette, LA",116,108,8,91.69,94.13
44180,"Springfield, MO",117,109,8,94.56,96.46
25420,"Harrisburg, PA",106,110,-4,95.29,96.32
30700,"Lincoln, NE",104,111,-7,92.38,93.38
46520,"Honolulu, HI",107,112,-5,90.58,91.13
12260,"Augusta, GA",119,113,6,103.21,105.25
19340,"Davenport, IA",115,114,1,91.33,92.64
17980,"Columbus, GA",125,115,10,102.86,105.32
20260,"Duluth, MN",120,116,4,92.39,94.38
31180,"Lubbock, TX",114,117,-3,97.29,97.97
18580,"Corpus Christi, TX",113,118,-5,88.16,88.99
48620,"Wichita, KS",118,119,-1,91.19,92.87
37100,"Oxnard, CA",110,120,-10,92.8,93.11
16300,"Cedar Rapids, IA",123,121,2,89.24,92.15
43340,"Shreveport, LA",127,122,5,96.14,98.75
22220,"Fayetteville, AR",121,123,-2,93.29,94.9
43640,"Slidell, LA",126,124,2,93.91,95.62
19660,"Deltona, FL",122,125,-3,90.4,91.94
42100,"Santa Cruz, CA",111,126,-15,96.12,95.47
46140,"Tulsa, OK",124,127,-3,88.55,89.98
22180,"Fayetteville, NC",131,128,3,102.07,103.26
42220,"Santa Rosa, CA",130,129,1,89.9,91.37
11700,"Asheville, NC",137,130,7,92.7,93.93
49180,"Winston-Salem, NC",135,131,4,96.99,98.24
37860,"Pensacola, FL",142,132,10,94.01,96.06
39900,"Reno, NV",129,133,-4,91.4,92.41
34820,"Myrtle Beach, SC",141,134,7,91.29,93.63
13140,"Beaumont, TX",139,135,4,92.75,95.07
13460,"Bend, OR",134,136,-2,101.03,100.85
23420,"Fresno, CA",132,137,-5,87.62,88.92
28420,"Kennewick, WA",136,138,-2,92.71,93.8
11100,"Amarillo, TX",133,139,-6,90.42,91.51
43780,"South Bend, IN",140,140,0,95.24,97.0
36260,"Ogden, UT",144,141,3,93.26,95.29
47380,"Waco, TX",151,142,9,93.68,95.68
15980,"Cape Coral, FL",138,143,-5,89.07,90.51
32580,"McAllen, TX",128,144,-16,91.98,91.4
28660,"Killeen, TX",154,145,9,94.72,96.37
29540,"Lancaster, PA",153,146,7,97.78,99.57
12540,"Bakersfield, CA",143,147,-4,88.36,89.97
36500,"Olympia, WA",145,148,-3,98.75,99.46
42540,"Scranton, PA",147,149,-2,86.0,88.66
24540,"Greeley, CO",148,150,-2,102.38,103.19
47930,"Waterbury, CT",152,151,1,95.87,96.84
23060,"Fort Wayne, IN",163,152,11,91.39,93.84
39340,"Provo, UT",146,153,-7,94.22,95.26
41500,"Salinas, CA",149,154,-5,83.33,84.01
31700,"Manchester, NH",150,155,-5,98.06,98.68
46540,"Utica, NY",157,156,1,90.38,92.51
41420,"Salem, OR",159,157,2,87.07,89.27
44140,"Springfield, MA",160,158,2,90.9,92.54
33700,"Modesto, CA",158,159,-1,87.65,89.17
32900,"Merced, CA",162,160,2,91.82,93.46
46700,"Vallejo, CA",156,161,-5,91.86,92.72
28940,"Knoxville, TN",161,162,-1,89.77,91.56
14740,"Bremerton, WA",164,163,1,91.56,93.01
11260,"Anchorage, AK",165,164,1,92.6,93.71
31340,"Lynchburg, VA",166,165,1,93.6,94.83
15940,"Canton, OH",169,166,3,86.59,90.14
15180,"Brownsville, TX",155,167,-12,92.33,91.06
40220,"Roanoke, VA",173,168,5,90.88,93.39
44700,"Stockton, CA",170,169,1,87.49,89.41
21780,"Evansville, IN",176,170,6,91.0,93.55
22420,"Flint, MI",175,171,4,89.97,92.66
24580,"Green Bay, WI",168,172,-4,84.38,86.29
29700,"Laredo, TX",167,173,-6,91.89,91.7
18880,"Crestview, FL",174,174,0,92.2,93.83
16860,"Chattanooga, TN",171,175,-4,89.08,90.98
29460,"Lakeland, FL",172,176,-4,88.6,90.16
49660,"Youngstown, OH",177,177,0,88.09,90.2
39740,"Reading, PA",178,178,0,88.63,90.55
40420,"Rockford, IL",180,179,1,87.66,89.96
17300,"Clarksville, TN",181,180,1,94.65,95.66
35980,"Norwich, CT",179,181,-2,88.17,88.95
34940,"Naples, FL",182,182,0,88.58,89.65
38940,"Port St. Lucie, FL",183,183,0,85.29,87.15
30980,"Longview, TX",184,184,0,89.8,92.1
49420,"Yakima, WA",186,185,1,90.22,92.51
49620,"York, PA",185,186,-1,85.32,87.84
47300,"Visalia, CA",187,187,0,86.02,87.49
43900,"Spartanburg, SC",190,188,2,89.49,92.51
26580,"Huntington, WV",188,189,-1,88.11,89.54
25860,"Hickory, NC",189,190,-1,84.8,87.77
28700,"Kingsport, TN",191,191,0,84.55,86.87
36100,"Ocala, FL",192,192,0,82.83,85.23
25180,"Hagerstown, MD",193,193,0,82.43,85.18
