search,metros,median_abs_change_pts,p90_abs_change_pts,max_abs_change_pts,kendall_tau_index,top_by_index_before,top_by_index_after,top1_changes,top10_score_overlap
female:50:edu=bachelors:race=hispanic,193,8.2,14.46,56.56,0.905,"McAllen, TX | Brownsville, TX | El Paso, TX","McAllen, TX | Brownsville, TX | El Paso, TX",False,10
female:50:edu=bachelors:race=nh_white,193,1.42,3.48,5.47,0.949,"Lincoln, NE | Boulder, CO | Madison, WI","Lincoln, NE | Boulder, CO | Madison, WI",False,9
female:50:edu=bachelors:race=nh_black,193,3.32,6.62,13.32,0.957,"Memphis, TN | Jackson, MS | Montgomery, AL","Memphis, TN | Jackson, MS | Montgomery, AL",False,9
female:50:edu=bachelors:race=nh_asian,193,3.23,6.0,33.4,0.945,"San Jose, CA | Honolulu, HI | San Francisco, CA","San Jose, CA | Honolulu, HI | San Francisco, CA",False,10
female:50:edu=bachelors:race=nh_aian,193,4.41,10.15,138.06,0.878,"Yakima, WA | Green Bay, WI | Anchorage, AK","Yakima, WA | Green Bay, WI | Anchorage, AK",False,10
female:50:edu=bachelors:race=nh_nhpi,193,7.84,12.88,66.64,0.904,"Honolulu, HI | Tallahassee, FL | Myrtle Beach, SC","Honolulu, HI | Tallahassee, FL | Myrtle Beach, SC",False,10
female:50:edu=bachelors:race=nh_twoplus,193,2.16,4.88,8.28,0.9,"Fayetteville, AR | Boulder, CO | Lincoln, NE","Fayetteville, AR | Boulder, CO | Lincoln, NE",False,8
female:50:edu=bachelors:race=nh_other,193,3.37,9.43,42.87,0.941,"Wilmington, NC | Manchester, NH | Fort Wayne, IN","Wilmington, NC | Manchester, NH | Slidell, LA",False,9
female:50:edu=graduate:race=hispanic,193,9.02,15.93,67.13,0.879,"McAllen, TX | Brownsville, TX | El Paso, TX","McAllen, TX | Brownsville, TX | El Paso, TX",False,10
female:50:edu=graduate:race=nh_white,193,1.04,2.98,6.1,0.968,"Boulder, CO | Lincoln, NE | Ann Arbor, MI","Boulder, CO | Lincoln, NE | Ann Arbor, MI",False,10
female:50:edu=graduate:race=nh_black,193,2.78,6.41,12.12,0.948,"Atlanta, GA | Jackson, MS | Washington, DC","Atlanta, GA | Jackson, MS | Memphis, TN",False,10
female:50:edu=graduate:race=nh_asian,193,2.2,6.82,43.33,0.934,"San Jose, CA | San Francisco, CA | Honolulu, HI","San Jose, CA | San Francisco, CA | Fargo, ND",False,10
female:50:edu=graduate:race=nh_aian,193,2.75,7.02,47.0,0.934,"Yakima, WA | Green Bay, WI | Anchorage, AK","Yakima, WA | Green Bay, WI | Laredo, TX",False,9
female:50:edu=graduate:race=nh_nhpi,193,6.73,11.8,46.12,0.94,"Honolulu, HI | Tallahassee, FL | San Jose, CA","Honolulu, HI | Tallahassee, FL | San Jose, CA",False,10
female:50:edu=graduate:race=nh_twoplus,193,0.76,1.84,6.11,0.972,"Boulder, CO | Fayetteville, AR | Ann Arbor, MI","Boulder, CO | Ann Arbor, MI | Fayetteville, AR",False,10
female:50:edu=graduate:race=nh_other,193,2.54,7.29,43.41,0.962,"Wilmington, NC | Manchester, NH | Scranton, PA","Wilmington, NC | Manchester, NH | Greenville, SC",False,9
