search,metros,median_abs_change_pts,p90_abs_change_pts,max_abs_change_pts,kendall_tau_index,top_by_index_before,top_by_index_after,top1_changes,top10_score_overlap
male:50:edu=some_college:race=nh_black,193,2.02,5.43,10.88,0.964,"Memphis, TN | Jackson, MS | Montgomery, AL","Jackson, MS | Memphis, TN | Montgomery, AL",True,10
male:50:edu=some_college:race=nh_asian,193,2.56,5.99,19.35,0.94,"San Jose, CA | Honolulu, HI | San Francisco, CA","San Jose, CA | Honolulu, HI | San Francisco, CA",False,10
male:50:edu=some_college:race=nh_aian,193,3.05,8.46,65.62,0.928,"Yakima, WA | Anchorage, AK | Tulsa, OK","Yakima, WA | Anchorage, AK | Duluth, MN",False,10
male:50:edu=some_college:race=nh_nhpi,193,6.77,13.96,93.76,0.913,"Provo, UT | Fayetteville, AR | Honolulu, HI","Provo, UT | Fayetteville, AR | Honolulu, HI",False,10
male:50:edu=some_college:race=nh_twoplus,193,1.29,4.3,12.52,0.924,"Fayetteville, AR | Eugene, OR | Kalamazoo, MI","Fayetteville, AR | Eugene, OR | Provo, UT",False,9
male:50:edu=some_college:race=nh_other,193,2.01,6.61,90.76,0.971,"Fargo, ND | Roanoke, VA | Fayetteville, NC","Fargo, ND | Roanoke, VA | Fayetteville, NC",False,9
male:50:edu=bachelors:race=hispanic,193,7.2,15.31,47.8,0.91,"McAllen, TX | Brownsville, TX | El Paso, TX","McAllen, TX | Brownsville, TX | El Paso, TX",False,9
male:50:edu=bachelors:race=nh_white,193,2.4,5.28,9.44,0.932,"Provo, UT | Madison, WI | Boulder, CO","Provo, UT | Madison, WI | Boulder, CO",False,9
male:50:edu=bachelors:race=nh_black,193,2.39,5.98,9.97,0.968,"Jackson, MS | Atlanta, GA | Memphis, TN","Jackson, MS | Atlanta, GA | Memphis, TN",False,10
male:50:edu=bachelors:race=nh_asian,193,3.05,7.44,32.93,0.945,"San Jose, CA | San Francisco, CA | Honolulu, HI","San Jose, CA | San Francisco, CA | Honolulu, HI",False,10
male:50:edu=bachelors:race=nh_aian,193,2.35,6.91,26.85,0.935,"Fayetteville, AR | Rockford, IL | Anchorage, AK","Fayetteville, AR | Rockford, IL | Albuquerque, NM",False,8
male:50:edu=bachelors:race=nh_nhpi,193,5.24,11.88,159.61,0.937,"Provo, UT | Clarksville, TN | Honolulu, HI","Provo, UT | Clarksville, TN | Honolulu, HI",False,9
male:50:edu=bachelors:race=nh_twoplus,193,1.57,4.25,9.43,0.936,"Kalamazoo, MI | Ann Arbor, MI | Provo, UT","Kalamazoo, MI | Ann Arbor, MI | Provo, UT",False,9
male:50:edu=bachelors:race=nh_other,193,2.93,12.09,125.98,0.905,"Fargo, ND | Peoria, IL | Raleigh, NC","Fargo, ND | Peoria, IL | Raleigh, NC",False,9
male:50:edu=graduate:race=hispanic,193,5.75,12.46,42.18,0.911,"McAllen, TX | Brownsville, TX | El Paso, TX","McAllen, TX | Brownsville, TX | El Paso, TX",False,10
male:50:edu=graduate:race=nh_white,193,3.02,6.46,19.45,0.932,"Boulder, CO | Madison, WI | Provo, UT","Boulder, CO | Madison, WI | Provo, UT",False,9
male:50:edu=graduate:race=nh_black,193,1.52,4.09,10.44,0.957,"Jackson, MS | Atlanta, GA | Montgomery, AL","Jackson, MS | Atlanta, GA | Montgomery, AL",False,10
male:50:edu=graduate:race=nh_asian,193,1.52,4.59,28.1,0.964,"San Jose, CA | San Francisco, CA | Honolulu, HI","San Jose, CA | San Francisco, CA | Honolulu, HI",False,10
male:50:edu=graduate:race=nh_aian,193,1.92,5.91,40.44,0.95,"Fayetteville, AR | Rockford, IL | Salem, OR","Fayetteville, AR | Rockford, IL | Salem, OR",False,10
male:50:edu=graduate:race=nh_nhpi,193,2.96,7.92,127.18,0.953,"Provo, UT | Clarksville, TN | Honolulu, HI","Provo, UT | Honolulu, HI | Clarksville, TN",False,10
male:50:edu=graduate:race=nh_twoplus,193,3.04,6.49,19.02,0.919,"Ann Arbor, MI | San Francisco, CA | Kalamazoo, MI","Ann Arbor, MI | San Francisco, CA | Boulder, CO",False,9
male:50:edu=graduate:race=nh_other,193,2.13,7.47,70.46,0.95,"Fargo, ND | Gainesville, FL | Bend, OR","Gainesville, FL | Fargo, ND | Bend, OR",True,10
female:25:undisclosed,193,1.34,2.42,3.38,0.908,"Ann Arbor, MI | Boulder, CO | Madison, WI","Ann Arbor, MI | Madison, WI | Boulder, CO",False,9
female:25:edu=hs_or_less,193,1.68,4.2,8.39,0.91,"Yakima, WA | Montgomery, AL | Laredo, TX","Yakima, WA | Laredo, TX | Montgomery, AL",False,10
female:25:edu=some_college,193,2.12,4.29,6.31,0.725,"Provo, UT | Jackson, MS | Fayetteville, NC","Provo, UT | Fayetteville, NC | Jackson, MS",False,8
female:25:edu=bachelors,193,2.02,3.98,7.05,0.927,"Ann Arbor, MI | Madison, WI | Boulder, CO","Madison, WI | Ann Arbor, MI | Boulder, CO",True,10
female:25:edu=graduate,193,1.07,2.22,3.56,0.967,"San Jose, CA | Ann Arbor, MI | Boulder, CO","San Jose, CA | Ann Arbor, MI | Boulder, CO",False,10
female:25:race=hispanic,193,1.25,2.79,7.89,0.973,"McAllen, TX | Brownsville, TX | Laredo, TX","McAllen, TX | Brownsville, TX | Laredo, TX",False,10
female:25:race=nh_white,193,1.76,3.88,6.03,0.946,"Madison, WI | Portland, ME | Fargo, ND","Portland, ME | Madison, WI | Fargo, ND",True,9
female:25:race=nh_black,193,1.21,2.87,6.55,0.976,"Jackson, MS | Montgomery, AL | Memphis, TN","Jackson, MS | Montgomery, AL | Memphis, TN",False,10
female:25:race=nh_asian,193,1.12,2.97,14.26,0.962,"San Jose, CA | San Francisco, CA | Seattle, WA","San Jose, CA | San Francisco, CA | Seattle, WA",False,10
female:25:race=nh_aian,193,2.76,7.12,37.72,0.892,"Yakima, WA | Sioux Falls, SD | Anchorage, AK","Sioux Falls, SD | Yakima, WA | Anchorage, AK",True,9
female:25:race=nh_nhpi,193,2.88,8.61,78.26,0.931,"Fayetteville, AR | Honolulu, HI | Salem, OR","Fayetteville, AR | Honolulu, HI | Anchorage, AK",False,10
female:25:race=nh_twoplus,193,1.15,3.08,6.03,0.92,"Fayetteville, AR | Fargo, ND | Ann Arbor, MI","Fayetteville, AR | Fargo, ND | Ann Arbor, MI",False,9
female:25:race=nh_other,193,1.48,5.46,14.79,0.94,"Ocala, FL | New Orleans, LA | Hagerstown, MD","Ocala, FL | New Orleans, LA | Boston, MA",False,10
female:25:edu=hs_or_less:race=hispanic,193,7.32,15.82,42.05,0.935,"McAllen, TX | Brownsville, TX | Laredo, TX","McAllen, TX | Brownsville, TX | Laredo, TX",False,9
female:25:edu=hs_or_less:race=nh_white,193,2.63,5.66,10.22,0.953,"Duluth, MN | Canton, OH | Kingsport, TN","Canton, OH | Kingsport, TN | Duluth, MN",True,10
female:25:edu=hs_or_less:race=nh_black,193,1.45,3.84,6.86,0.982,"Montgomery, AL | Jackson, MS | Memphis, TN","Montgomery, AL | Jackson, MS | Memphis, TN",False,10
female:25:edu=hs_or_less:race=nh_asian,193,11.25,23.56,98.93,0.822,"San Jose, CA | Stockton, CA | Honolulu, HI","San Jose, CA | Honolulu, HI | Stockton, CA",False,9
female:25:edu=hs_or_less:race=nh_aian,193,2.26,6.93,62.19,0.923,"Yakima, WA | Anchorage, AK | Tulsa, OK","Yakima, WA | Anchorage, AK | Tulsa, OK",False,9
female:25:edu=hs_or_less:race=nh_nhpi,193,5.27,13.09,132.93,0.944,"Fayetteville, AR | Anchorage, AK | Salem, OR","Fayetteville, AR | Honolulu, HI | Anchorage, AK",False,10
female:25:edu=hs_or_less:race=nh_twoplus,193,2.23,6.2,28.17,0.925,"Fayetteville, AR | Anchorage, AK | Canton, OH","Fayetteville, AR | Anchorage, AK | Clarksville, TN",False,9
female:25:edu=hs_or_less:race=nh_other,193,3.57,9.58,28.46,0.91,"Ocala, FL | Hagerstown, MD | Amarillo, TX","Ocala, FL | Amarillo, TX | Cape Coral, FL",False,9
female:25:edu=some_college:race=hispanic,193,3.93,6.61,16.26,0.967,"McAllen, TX | Brownsville, TX | Laredo, TX","McAllen, TX | Brownsville, TX | Laredo, TX",False,10
female:25:edu=some_college:race=nh_white,193,2.77,6.54,9.8,0.912,"Provo, UT | Duluth, MN | Fargo, ND","Provo, UT | Duluth, MN | Cedar Rapids, IA",False,9
female:25:edu=some_college:race=nh_black,193,1.28,3.13,6.7,0.973,"Jackson, MS | Montgomery, AL | Memphis, TN","Jackson, MS | Montgomery, AL | Memphis, TN",False,10
female:25:edu=some_college:race=nh_asian,193,2.24,7.45,26.42,0.908,"San Jose, CA | San Francisco, CA | Honolulu, HI","San Jose, CA | Honolulu, HI | San Francisco, CA",False,9
female:25:edu=some_college:race=nh_aian,193,3.2,8.37,38.32,0.882,"Sioux Falls, SD | Yakima, WA | Anchorage, AK","Sioux Falls, SD | Anchorage, AK | Yakima, WA",False,8
female:25:edu=some_college:race=nh_nhpi,193,4.66,12.22,88.58,0.93,"Fayetteville, AR | Hickory, NC | Honolulu, HI","Fayetteville, AR | Honolulu, HI | Hickory, NC",False,10
female:25:edu=some_college:race=nh_twoplus,193,1.77,4.54,7.7,0.876,"Fayetteville, AR | Fargo, ND | Clarksville, TN","Fayetteville, AR | Fargo, ND | Clarksville, TN",False,9
female:25:edu=some_college:race=nh_other,193,2.29,7.08,24.17,0.91,"Hagerstown, MD | Ocala, FL | Flint, MI","Hagerstown, MD | Ocala, FL | Flint, MI",False,10
