sex_s,cohort,gap,raw_log_mult,smoothed_log_mult,gauged_log_mult
female,18-70,-49,-7.59251208380433,-7.592432469282257,-7.593521297065167
female,18-70,-48,-7.0010827650078395,-7.001139280771952,-7.002228108554862
female,18-70,-47,-6.852878371948979,-6.852326240993602,-6.853415068776512
female,18-70,-46,-5.939909536509191,-5.940404411011521,-5.941493238794431
female,18-70,-45,-7.787888446205143,-7.786260202060189,-7.787349029843099
female,18-70,-44,-7.615294280200739,-7.614285650502256,-7.615374478285166
female,18-70,-43,-6.276446582024773,-6.2768135053151415,-6.2779023330980515
female,18-70,-42,-6.775303066114832,-6.774782242727535,-6.775871070510445
female,18-70,-41,-6.142123065662398,-6.142302090634461,-6.143390918417371
female,18-70,-40,-6.245548659525417,-6.245678913224433,-6.246767741007343
female,18-70,-39,-6.846138059686741,-6.844794834078987,-6.845883661861897
female,18-70,-38,-5.455842362795666,-5.456208207275994,-5.457297035058904
female,18-70,-37,-5.914686595788496,-5.914418080955673,-5.915506908738583
female,18-70,-36,-5.6992959205640945,-5.699166210690868,-5.700255038473778
female,18-70,-35,-5.274259240991181,-5.27448115192505,-5.27556997970796
female,18-70,-34,-5.657266315710918,-5.657051314041097,-5.658140141824007
female,18-70,-33,-5.482314808169433,-5.482484407307737,-5.483573235090647
female,18-70,-32,-5.889622841462853,-5.889048243378069,-5.890137071160979
female,18-70,-31,-5.113937581354926,-5.1141889995757985,-5.1152778273587085
female,18-70,-30,-5.37182631041244,-5.3717097541357965,-5.3727985819187065
female,18-70,-29,-5.308315604471355,-5.308211223681416,-5.309300051464326
female,18-70,-28,-5.00800024084589,-5.008090515415357,-5.009179343198267
female,18-70,-27,-5.030736868602763,-5.03069664245227,-5.03178547023518
female,18-70,-26,-4.942215534989072,-4.942145177857716,-4.943234005640626
female,18-70,-25,-4.699748942417481,-4.6998783421693515,-4.7009671699522615
female,18-70,-24,-4.890110711471181,-4.889748130317058,-4.8908369580999675
female,18-70,-23,-4.2800605683036075,-4.280233139563004,-4.281321967345914
female,18-70,-22,-4.359384757182324,-4.35924744553455,-4.3603362733174595
female,18-70,-21,-4.085119348393025,-4.085140061069413,-4.086228888852323
female,18-70,-20,-3.9378196915929884,-3.937751901270951,-3.9388407290538607
female,18-70,-19,-3.662093146361954,-3.6621297650807776,-3.663218592863687
female,18-70,-18,-3.5530345388922253,-3.5530042017778265,-3.554093029560736
female,18-70,-17,-3.3870001876828475,-3.3869595510719357,-3.388048378854845
female,18-70,-16,-3.158547872455593,-3.1585537665763246,-3.159642594359234
female,18-70,-15,-3.0003961286697662,-3.000352479093561,-3.0014413068764707
female,18-70,-14,-2.768454314284314,-2.768435881837036,-2.7695247096199456
female,18-70,-13,-2.5482606866434456,-2.5482181933964014,-2.549307021179311
female,18-70,-12,-2.2792050639998775,-2.2792192596632175,-2.280308087446127
female,18-70,-11,-2.1120400440533382,-2.1119297553083016,-2.113018583091211
female,18-70,-10,-1.7271936770028005,-1.7272379900718537,-1.7283268178547635
female,18-70,-9,-1.5635562400789644,-1.5635193118693118,-1.5646081396522216
female,18-70,-8,-1.3357302982140171,-1.3356771495980684,-1.3367659773809781
female,18-70,-7,-1.0295351085918139,-1.0295255341603375,-1.0306143619432473
female,18-70,-6,-0.7740640192097781,-0.7740122190474469,-0.7751010468303565
