sex_s,cohort,gap,raw_log_mult,smoothed_log_mult,gauged_log_mult
female,18-70,-49,-7.59251208380433,-7.592432469282257,-7.593521297065166
female,18-70,-48,-7.00108276500784,-7.001139280771953,-7.002228108554862
female,18-70,-47,-6.852878371948979,-6.8523262409936025,-6.853415068776512
female,18-70,-46,-5.939909536509191,-5.940404411011522,-5.941493238794431
female,18-70,-45,-7.787888446205142,-7.786260202060189,-7.7873490298430985
female,18-70,-44,-7.615294280200739,-7.614285650502256,-7.615374478285165
female,18-70,-43,-6.276446582024772,-6.276813505315142,-6.2779023330980515
female,18-70,-42,-6.775303066114832,-6.774782242727535,-6.775871070510444
female,18-70,-41,-6.142123065662399,-6.142302090634462,-6.143390918417371
female,18-70,-40,-6.245548659525417,-6.245678913224433,-6.246767741007342
female,18-70,-39,-6.846138059686741,-6.8447948340789875,-6.845883661861897
female,18-70,-38,-5.455842362795665,-5.456208207275995,-5.457297035058904
female,18-70,-37,-5.914686595788496,-5.914418080955674,-5.915506908738583
female,18-70,-36,-5.6992959205640945,-5.699166210690868,-5.700255038473777
female,18-70,-35,-5.2742592409911815,-5.274481151925051,-5.27556997970796
female,18-70,-34,-5.657266315710918,-5.657051314041098,-5.658140141824007
female,18-70,-33,-5.482314808169432,-5.482484407307738,-5.483573235090647
female,18-70,-32,-5.889622841462853,-5.889048243378069,-5.890137071160978
female,18-70,-31,-5.113937581354926,-5.1141889995757985,-5.115277827358708
female,18-70,-30,-5.371826310412441,-5.3717097541357965,-5.372798581918706
female,18-70,-29,-5.308315604471356,-5.308211223681416,-5.309300051464325
female,18-70,-28,-5.00800024084589,-5.008090515415357,-5.009179343198266
female,18-70,-27,-5.030736868602763,-5.030696642452271,-5.03178547023518
female,18-70,-26,-4.942215534989072,-4.942145177857717,-4.943234005640626
female,18-70,-25,-4.699748942417481,-4.699878342169352,-4.7009671699522615
female,18-70,-24,-4.89011071147118,-4.8897481303170585,-4.8908369580999675
female,18-70,-23,-4.280060568303608,-4.280233139563005,-4.281321967345914
female,18-70,-22,-4.359384757182325,-4.35924744553455,-4.360336273317459
female,18-70,-21,-4.085119348393025,-4.0851400610694135,-4.086228888852323
female,18-70,-20,-3.937819691592989,-3.937751901270951,-3.9388407290538603
female,18-70,-19,-3.6620931463619537,-3.6621297650807794,-3.6632185928636884
female,18-70,-18,-3.5530345388922253,-3.5530042017778274,-3.5540930295607365
female,18-70,-17,-3.387000187682848,-3.386959551071936,-3.388048378854845
female,18-70,-16,-3.1585478724555935,-3.1585537665763264,-3.1596425943592354
female,18-70,-15,-3.000396128669767,-3.0003524790935616,-3.0014413068764707
female,18-70,-14,-2.768454314284314,-2.768435881837037,-2.769524709619946
female,18-70,-13,-2.5482606866434456,-2.548218193396402,-2.549307021179311
female,18-70,-12,-2.279205063999878,-2.2792192596632184,-2.2803080874461275
female,18-70,-11,-2.1120400440533387,-2.111929755308302,-2.113018583091211
female,18-70,-10,-1.727193677002801,-1.727237990071854,-1.7283268178547633
female,18-70,-9,-1.5635562400789647,-1.5635193118693118,-1.5646081396522211
female,18-70,-8,-1.3357302982140176,-1.335677149598069,-1.3367659773809784
female,18-70,-7,-1.029535108591814,-1.029525534160338,-1.0306143619432473
female,18-70,-6,-0.7740640192097786,-0.7740122190474474,-0.7751010468303566
female,18-70,-5,-0.4499851674754873,-0.449966897916735,-0.4510557256996442
female,18-70,-4,-0.15895088414687505,-0.15888974269655132,-0.1599785704794605
female,18-70,-3,0.2107854640316024,0.21087256044563407,0.20978373266272488
female,18-70,-2,0.6752429522021073,0.6753900651573237,0.6743012373744145
female,18-70,-1,1.290045752511237,1.290150994062716,1.2890621662798067
female,18-70,0,1.8890445735560681,1.8888767940055333,1.887787966222624
female,18-70,1,1.8543332086324211,1.8542932318406355,1.8532044040577262
female,18-70,2,1.6742948183799116,1.6743077891829845,1.6732189614000752
female,18-70,3,1.4791493520611145,1.4791599638627542,1.4780711360798449
female,18-70,4,1.25027468570526,1.2503080776111326,1.2492192498282233
female,18-70,5,1.0533067570269443,1.053322272972904,1.0522334451899946
female,18-70,6,0.8415997722207251,0.841622473681691,0.8405336458987818
female,18-70,7,0.6337678567036663,0.6337944501292069,0.6327056223462977
female,18-70,8,0.4478437902229397,0.4478593456073463,0.4467705178244371
female,18-70,9,0.25626218641822884,0.2562971281331271,0.2552083003502179
female,18-70,10,0.12731353743063617,0.1272922763160881,0.1262034485331789
female,18-70,11,-0.11477530398178071,-0.1147411189631356,-0.11582994674604481
female,18-70,12,-0.3249807734926142,-0.32495472784194135,-0.32604355562485055
female,18-70,13,-0.512476500394366,-0.5124614001471214,-0.5135502279300306
female,18-70,14,-0.704237844159094,-0.7042173513431302,-0.7053061791260394
female,18-70,15,-0.8820301684254777,-0.8820073416582273,-0.8830961694411364
female,18-70,16,-1.029899455688368,-1.0298925313754017,-1.030981359158311
female,18-70,17,-1.1910179235364513,-1.191016166745576,-1.1921049945284854
female,18-70,18,-1.3908193382999035,-1.3907936782418286,-1.391882506024738
female,18-70,19,-1.5615196396316466,-1.5614995554307074,-1.5625883832136167
female,18-70,20,-1.708701349879262,-1.7087309989036747,-1.709819826686584
female,18-70,21,-2.0109917254298453,-2.010903273418274,-2.011992101201183
female,18-70,22,-2.121565356872748,-2.121559864240996,-2.122648692023905
female,18-70,23,-2.236749360109856,-2.236767886072246,-2.2378567138551553
female,18-70,24,-2.4462006021785276,-2.4461572241466087,-2.447246051929518
female,18-70,25,-2.5708308662386816,-2.5708131788399515,-2.5719020066228606
female,18-70,26,-2.664541423697589,-2.664580374881965,-2.665669202664874
female,18-70,27,-2.92521426702371,-2.9251225895412234,-2.9262114173241325
female,18-70,28,-2.9668578091868842,-2.966901676897433,-2.967990504680342
female,18-70,29,-3.172945265293639,-3.1728802383224846,-3.1739690661053936
female,18-70,30,-3.2258029242688724,-3.2258499694885843,-3.2269387972714934
female,18-70,31,-3.464321661278935,-3.4643029814094186,-3.4653918091923277
female,18-70,32,-3.7517288434534843,-3.751542774419133,-3.752631602202042
female,18-70,33,-3.558515991140107,-3.5586400571077816,-3.5597288848906907
female,18-70,34,-3.7778888741055514,-3.7779226680711364,-3.7790114958540455
female,18-70,35,-4.298351617282242,-4.297879979789299,-4.298968807572208
female,18-70,36,-3.7510210837135087,-3.751345995789036,-3.752434823571945
female,18-70,37,-4.579684066254148,-4.579192778779087,-4.5802816065619965
female,18-70,38,-4.563135285551273,-4.563032253764976,-4.564121081547885
female,18-70,39,-4.244015661226778,-4.244155920554367,-4.245244748337276
female,18-70,40,-4.373391712465816,-4.37331557370588,-4.374404401488789
female,18-70,41,-4.2992725232958415,-4.299444168920606,-4.300532996703515
female,18-70,42,-5.037061383068323,-5.0365653423715795,-5.037654170154489
female,18-70,43,-4.869093422192363,-4.868861777495121,-4.86995060527803
female,18-70,44,-4.108481147256169,-4.108741853134168,-4.109830680917077
female,18-70,45,-4.23927791931365,-4.239221676112929,-4.240310503895838
female,18-70,46,-4.26800758067376,-4.268046077287538,-4.269134905070447
female,18-70,47,-4.533546993877867,-4.533333881517337,-4.534422709300246
female,18-70,48,-4.277340945345913,-4.277361118154895,-4.278449945937804
female,18-70,49,-3.849700828569363,-3.8500742613686567,-3.851163089151566
female,18-70,50,-9.210340371976182,-9.210340371976182,-9.211429199759092
female,18-70,51,-9.210340371976182,-9.210340371976182,-9.211429199759092
female,18-70,52,-9.210340371976182,-9.210340371976182,-9.211429199759092
