sex_s,cohort,gap,raw_log_mult,smoothed_log_mult,gauged_log_mult
male,18-70,-20,-1.743535912640708,-1.7066409164796752,-1.713237600956678
male,18-70,-19,-1.6159096678434322,-1.6356550076375949,-1.6422516921145978
male,18-70,-18,-1.6181977105748184,-1.5062884562670809,-1.5128851407440838
male,18-70,-17,-1.21285252199041,-1.2962306430679174,-1.3028273275449203
male,18-70,-16,-1.2299582882977595,-1.2299427435728623,-1.2365394280498652
male,18-70,-15,-1.2279041772906636,-1.2136667762870776,-1.2202634607640805
male,18-70,-14,-1.2003056016587836,-1.094096692945334,-1.1006933774223369
male,18-70,-13,-0.8132909311085682,-0.8369807574504231,-0.843577441927426
male,18-70,-12,-0.6258370178777478,-0.6565141981225922,-0.663110882599595
male,18-70,-11,-0.5946719256752298,-0.529286418626785,-0.535883103103788
male,18-70,-10,-0.3183617889039681,-0.3550143690466293,-0.36161105352363226
male,18-70,-9,-0.2508879023273069,-0.21543487126326097,-0.2220315557402639
male,18-70,-8,-0.05661838271983459,-0.0462841604314432,-0.052880844908446134
male,18-70,-7,0.14148827548245024,0.11319451880988145,0.1065978343328785
male,18-70,-6,0.19423654380466082,0.23757099004504798,0.23097430556804505
male,18-70,-5,0.4049567572573842,0.42017551370414036,0.4135788292271374
male,18-70,-4,0.6232717354221529,0.6357672486316135,0.6291705641546106
male,18-70,-3,0.8438516827249628,0.8596269510560038,0.8530302665790009
male,18-70,-2,1.0839176957879813,1.0821923223972194,1.0755956379202165
male,18-70,-1,1.2728797906083464,1.2907095496865486,1.2841128652095457
male,18-70,0,1.52686836837804,1.430276713356043,1.42368002887904
male,18-70,1,1.3609225446321636,1.3769236647936456,1.3703269803166427
male,18-70,2,1.2578853157284313,1.2517158552418695,1.2451191707648666
male,18-70,3,1.0898052286794004,1.1028643700415175,1.0962676855645146
male,18-70,4,0.9295987470451403,0.9508771064909491,0.9442804220139462
male,18-70,5,0.8208910344648641,0.8157401164235909,0.809143431946588
male,18-70,6,0.6416123396166,0.6840808366764476,0.6774841521994447
male,18-70,7,0.6182907941412772,0.5898851624094575,0.5832884779324546
male,18-70,8,0.4400902618355749,0.46924016639763666,0.4626434819206337
male,18-70,9,0.3557318533636248,0.3616996182024115,0.3551029337254085
male,18-70,10,0.2757817598874814,0.2589092363176106,0.25231255184060764
male,18-70,11,0.08290076994646772,0.13424035062510412,0.1276436661481012
male,18-70,12,0.08397929727861846,0.055271568050977916,0.04867488357397498
male,18-70,13,-0.050904554381720764,-0.08241237528257385,-0.08900905975957679
male,18-70,14,-0.4070231785605292,-0.3049776026746509,-0.31157428715165386
male,18-70,15,-0.41634222887506617,-0.3974720168489682,-0.40406870132597117
male,18-70,16,-0.3730828907677993,-0.3934758442292277,-0.40007252870623067
male,18-70,17,-0.40179404030481813,-0.45703632330224053,-0.4636330077792435
male,18-70,18,-0.7184422403299886,-0.6214784211698959,-0.6280751056468988
male,18-70,19,-0.6639708735836551,-0.7090289591968952,-0.7156256436738981
male,18-70,20,-0.8493092886829255,-0.7867846258392814,-0.7933813103162843
male,18-70,21,-0.7728735059418741,-0.8178169529572327,-0.8244136374342356
male,18-70,22,-0.914432156548782,-0.8719833071353418,-0.8785799916123447
male,18-70,23,-0.8730340507387842,-0.91152957974775,-0.9181262642247529
male,18-70,24,-1.0041410310833963,-1.018473750012126,-1.0250704344891288
male,18-70,25,-1.2554150987043398,-1.145371053583228,-1.151967738060231
male,18-70,26,-1.0897581685228765,-1.084145147092422,-1.0907418315694248
male,18-70,27,-0.9098513785243194,-1.0255686800313468,-1.0321653645083497
male,18-70,28,-1.2534545870993572,-1.2089668135176042,-1.215563497994607
male,18-70,29,-1.5335663376945095,-1.420577476074536,-1.427174160551539
male,18-70,30,-1.4017957080376073,-1.4443199049336592,-1.4509165894106621
male,18-70,31,-1.4677085232036384,-1.4836521212165852,-1.490248805693588
male,18-70,32,-1.6318971611920081,-1.5518877173199754,-1.5584844017969783
male,18-70,33,-1.4646017019321071,-1.5388521503751962,-1.545448834852199
male,18-70,34,-1.629682210612966,-1.6379428735771515,-1.6445395580541544
male,18-70,35,-1.8955824673254424,-1.8466634484209945,-1.8532601328979974
male,18-70,36,-2.121623775862029,-1.9010505006840674,-1.9076471851610703
male,18-70,37,-1.483040461457822,-1.735614635323964,-1.742211319800967
male,18-70,38,-2.163701006326139,-1.962520784145461,-1.969117468622464
male,18-70,39,-2.253343711200633,-2.3113157961368676,-2.3179124806138707
male,18-70,40,-3.077398712338849,-2.628168653402189,-2.634765337879192
male,18-70,41,-2.410592096153217,-2.332770207072188,-2.339366891549191
male,18-70,42,-1.634160747082101,-1.9239321973596528,-1.9305288818366557
male,18-70,43,-2.325681119984477,-2.041002532629056,-2.0475992171060593
male,18-70,44,-1.9818727998112813,-2.257028561978457,-2.2636252464554603
male,18-70,45,-9.210340371976182,-3.078452306397211,-3.0850489908742142
male,18-70,46,-3.7045277885302013,-3.8617224325223463,-3.8683191169993494
male,18-70,47,-3.7399453252420267,-3.2761762472693623,-3.2827729317463654
male,18-70,48,-2.0223428309707203,-2.5424913181505744,-2.5490880026275775
male,18-70,49,-9.210340371976182,-2.2236281059140834,-2.2302247903910866
male,18-70,50,-0.5597035396935571,-1.2654002885422138,-1.2719969730192167
male,18-70,51,-9.210340371976182,-1.3969830057326629,-1.4035796902096658
male,18-70,52,-9.210340371976182,-3.1657401035875297,-3.172336788064533
female,18-70,-52,-9.210340371976182,-9.210340371976182,-9.211607741562554
female,18-70,-51,-9.210340371976182,-9.210340371976182,-9.211607741562554
female,18-70,-50,-9.210340371976182,-9.210340371976182,-9.211607741562554
female,18-70,-49,-9.210340371976182,-9.210340371976182,-9.211607741562554
female,18-70,-48,-9.210340371976182,-9.210340371976182,-9.211607741562554
