search,metros,median_abs_change_pts,p90_abs_change_pts,max_abs_change_pts,kendall_tau_index,top_by_index_before,top_by_index_after,top1_changes,top10_score_overlap
female:25:edu=hs_or_less,193,0.83,2.42,5.8,0.932,"Yakima, WA | Montgomery, AL | Laredo, TX","Yakima, WA | Montgomery, AL | Laredo, TX",False,10
female:25:edu=some_college,193,0.73,2.34,4.82,0.84,"Provo, UT | Jackson, MS | Fayetteville, NC","Jackson, MS | El Paso, TX | Fayetteville, NC",True,9
female:25:edu=bachelors,193,0.73,1.95,4.91,0.958,"Ann Arbor, MI | Madison, WI | Boulder, CO","Madison, WI | Ann Arbor, MI | Boulder, CO",True,10
female:25:edu=graduate,193,0.69,2.01,3.66,0.969,"San Jose, CA | Ann Arbor, MI | Boulder, CO","San Jose, CA | Ann Arbor, MI | Boulder, CO",False,10
female:25:race=hispanic,193,0.76,2.61,5.0,0.978,"McAllen, TX | Brownsville, TX | Laredo, TX","McAllen, TX | Brownsville, TX | Laredo, TX",False,10
female:25:race=nh_white,193,1.01,2.44,5.09,0.957,"Madison, WI | Portland, ME | Fargo, ND","Portland, ME | Madison, WI | Fargo, ND",True,10
female:25:race=nh_black,193,0.9,3.04,9.41,0.978,"Jackson, MS | Montgomery, AL | Memphis, TN","Jackson, MS | Montgomery, AL | Memphis, TN",False,10
female:25:race=nh_asian,193,0.92,2.55,6.0,0.964,"San Jose, CA | San Francisco, CA | Seattle, WA","San Jose, CA | San Francisco, CA | Seattle, WA",False,10
female:25:race=nh_aian,193,1.19,3.96,13.64,0.944,"Yakima, WA | Sioux Falls, SD | Anchorage, AK","Yakima, WA | Anchorage, AK | Sioux Falls, SD",False,9
female:25:race=nh_nhpi,193,1.25,10.01,67.12,0.961,"Fayetteville, AR | Honolulu, HI | Salem, OR","Fayetteville, AR | Hickory, NC | Honolulu, HI",False,10
female:25:race=nh_twoplus,193,0.95,2.99,4.92,0.913,"Fayetteville, AR | Fargo, ND | Ann Arbor, MI","Fayetteville, AR | Fargo, ND | Ann Arbor, MI",False,10
