search,metros,median_abs_change_pts,p90_abs_change_pts,max_abs_change_pts,kendall_tau_index,top_by_index_before,top_by_index_after,top1_changes,top10_score_overlap
female:50:edu=bachelors:race=nh_twoplus,193,1.14,2.88,11.45,0.94,"Fayetteville, AR | Boulder, CO | Lincoln, NE","Fayetteville, AR | Boulder, CO | Ann Arbor, MI",False,10
female:50:edu=bachelors:race=nh_other,193,2.55,11.19,57.44,0.925,"Wilmington, NC | Manchester, NH | Fort Wayne, IN","Wilmington, NC | Manchester, NH | Fort Wayne, IN",False,9
female:50:edu=graduate:race=hispanic,193,1.1,3.23,14.41,0.963,"McAllen, TX | Brownsville, TX | El Paso, TX","Brownsville, TX | McAllen, TX | El Paso, TX",True,10
female:50:edu=graduate:race=nh_white,193,1.09,3.33,13.53,0.953,"Boulder, CO | Lincoln, NE | Ann Arbor, MI","Boulder, CO | Ann Arbor, MI | Lincoln, NE",False,10
female:50:edu=graduate:race=nh_black,193,1.32,5.33,14.77,0.964,"Atlanta, GA | Jackson, MS | Washington, DC","Atlanta, GA | Washington, DC | Jackson, MS",False,10
female:50:edu=graduate:race=nh_asian,193,1.25,5.21,16.58,0.95,"San Jose, CA | San Francisco, CA | Honolulu, HI","San Jose, CA | San Francisco, CA | Honolulu, HI",False,10
female:50:edu=graduate:race=nh_aian,193,1.46,5.85,77.42,0.948,"Yakima, WA | Green Bay, WI | Anchorage, AK","Yakima, WA | Green Bay, WI | Laredo, TX",False,9
female:50:edu=graduate:race=nh_nhpi,193,1.45,6.55,43.89,0.958,"Honolulu, HI | Tallahassee, FL | San Jose, CA","Honolulu, HI | Tallahassee, FL | San Jose, CA",False,10
female:50:edu=graduate:race=nh_twoplus,193,1.26,3.36,8.92,0.946,"Boulder, CO | Fayetteville, AR | Ann Arbor, MI","Boulder, CO | Ann Arbor, MI | Fayetteville, AR",False,10
female:50:edu=graduate:race=nh_other,193,2.49,12.98,80.29,0.936,"Wilmington, NC | Manchester, NH | Scranton, PA","Wilmington, NC | Manchester, NH | Scranton, PA",False,9
