cbsa,sex,edu4,est,published,gap,pub_moe,moe,pass_pub_moe,pass_combined_moe
24140,Male,some_college,11819.0,12105,-286.0,924.6534485957428,928.4115350586721,True,True
24220,Male,some_college,12777.139899918244,12100,677.1398999182438,728.7365779209933,657.9920339407249,True,True
24260,Male,some_college,8377.677798987454,7821,556.6777989874536,666.8927949828218,586.300653647521,True,True
24300,Male,some_college,16063.109654896763,16331,-267.89034510323654,960.5795125860222,975.6363677882995,True,True
24340,Male,some_college,109094.2634388985,109622,-527.7365611014975,2456.258536880839,2951.1215210457203,True,True
24420,Male,some_college,12203.28798367866,11975,228.28798367865966,826.5307011841726,647.5298974342206,True,True
24500,Male,some_college,9010.56666670715,9598,-587.4333332928509,639.6397423550228,557.7681677739046,True,True
24540,Male,some_college,36546.0,37200,-654.0,1485.2185024433275,1833.7784973896792,True,True
24580,Male,some_college,35373.97700647477,36085,-711.0229935252282,1433.8845839188034,1825.540508678243,True,True
24660,Male,some_college,73011.28691569484,73171,-159.71308430515637,2412.866759686494,2456.97754027568,True,True
24780,Male,some_college,15360.0,15950,-590.0,1087.872235145286,1000.3184675035997,True,True
24860,Male,some_college,87267.9189640743,85114,2153.918964074299,2528.2456368003486,2373.5981652505243,True,True
25060,Male,some_college,45829.87443587641,46365,-535.1255641235912,1947.2955605146333,1529.3796028513157,True,True
25180,Male,some_college,28369.36457199222,28009,360.3645719922206,1354.3836236458267,1268.442131778716,True,True
25220,Male,some_college,11065.600903097516,11261,-195.3990969024835,1153.2913768861708,1013.5794334163785,True,True
25260,Male,some_college,15975.0,16326,-351.0,963.1531550070321,1013.5060468412362,True,True
25420,Male,some_college,47389.0,47657,-268.0,1862.7600489596077,2328.5672850722503,True,True
25500,Male,some_college,8524.0,8488,36.0,713.9425747215248,810.1722697380478,True,True
25540,Male,some_college,91864.94088012898,91884,-19.059119871017174,2411.2476023834633,2305.330784468921,True,True
25620,Male,some_college,15442.74292082298,15060,382.7429208229805,991.6577030407216,1122.3129201904983,True,True
25740,Male,some_college,10016.877005531738,9939,77.87700553173818,788.0253803019291,514.8951740504878,True,True
25860,Male,some_college,38325.907469183585,37963,362.9074691835849,1725.3840152267553,1538.2342262640689,True,True
25940,Male,some_college,20358.242151182472,20392,-33.7578488175277,1338.2410096839806,1221.27712704203,True,True
25980,Male,some_college,9109.815347893893,9288,-178.18465210610702,735.256417857063,676.0886900256754,True,True
26140,Male,some_college,19398.0,19588,-190.0,1156.789090543302,1061.8484556541014,True,True
26300,Male,some_college,10340.031931881185,10559,-218.9680681188147,860.4702202865593,615.4863154422638,True,True
26380,Male,some_college,13687.28780397083,14840,-1152.7121960291697,1006.4581461739976,909.2564067431206,False,True
26420,Male,some_college,604471.8478399965,606591,-2119.1521600035485,8473.819504804194,7541.9472812023605,True,True
26580,Male,some_college,34725.376179725354,35868,-1142.6238202746463,1584.667157481343,1137.9874487899647,True,True
26620,Male,some_college,46851.546034842584,46410,441.54603484258405,2019.7586489479381,1785.4520990593257,True,True
26820,Male,some_college,16355.977527829222,17003,-647.0224721707782,1019.6264021689512,937.4813836617468,True,True
26900,Male,some_college,176593.62340691214,176184,409.62340691214195,3703.8066904200064,3987.294062743077,True,True
26980,Male,some_college,13201.01952386693,13679,-477.9804761330706,857.9574581527921,895.8380949117014,True,True
27060,Male,some_college,5542.0,5655,-113.0,602.5927314530105,644.2969633115619,True,True
27100,Male,some_college,18078.0,18666,-588.0,926.4545320737549,1301.776910810278,True,True
27140,Male,some_college,56530.03519784588,58161,-1630.9648021541216,2243.416367953127,1833.4926107385172,True,True
27180,Male,some_college,14154.28693025508,14900,-745.7130697449193,860.6770590645483,1021.1032222821606,True,True
27260,Male,some_college,158510.73269891783,159563,-1052.2673010821745,3617.3175144020743,3980.732718156022,True,True
27340,Male,some_college,20487.64724685687,20894,-406.3527531431282,1276.8637358778735,1251.2807634733256,True,True
27500,Male,some_college,18232.0,17754,478.0,931.9425947986282,1296.5584350305041,True,True
27620,Male,some_college,13510.315969535752,14129,-618.6840304642483,776.4927559224233,617.4568827345341,True,True
27740,Male,some_college,19890.56478037328,20616,-725.4352196267209,1238.696895935402,1383.0687887476345,True,True
27780,Male,some_college,11333.0,11550,-217.0,627.3587490423641,639.7669150499266,True,True
27860,Male,some_college,10664.0,11169,-505.0,955.7264252912546,959.8312106511229,True,True
27900,Male,some_college,19280.732969696153,19336,-55.267030303846695,969.4054879151448,966.763122774108,True,True
27980,Male,some_college,17741.64024958167,18193,-451.3597504183308,1133.6886697854927,881.2596986190756,True,True
28020,Male,some_college,24040.0,24392,-352.0,1162.2852489815054,1401.879819278832,True,True
28100,Male,some_college,11763.702013723889,12410,-646.2979862761113,739.5491870051646,671.554438976158,True,True
28140,Male,some_college,202872.875403399,202205,667.8754033989972,3627.0024813887294,4066.076875431595,True,True
28420,Male,some_college,29890.567064412633,30139,-248.43293558736696,1406.1073927691298,1321.5471948225866,True,True
28450,Male,some_college,17722.0,17853,-131.0,1008.7244420554109,1353.3445592526502,True,True
28660,Male,some_college,56839.87050044658,56838,1.8705004465809907,1975.2875740003024,2063.7013818738437,True,True
28700,Male,some_college,30989.47475457479,31125,-135.52524542521132,1443.325673574748,1028.6810492097766,True,True
28740,Male,some_college,18280.59003204577,18087,193.59003204576948,1125.5207683556976,1093.071263512283,True,True
