cbsa,sex,median,published,pub_moe,gap,gap_pct,pass_pub_moe,pass_within_3pct
16300,Male,52473.5,55069.0,1430.0,-2595.5,-4.713178013038188,False,False
34740,Male,45686.25,45359.0,1211.0,327.25,0.7214665226305695,True,True
35380,Male,47729.64,47667.0,946.0,62.63999999999942,0.13141166844986976,True,True
40420,Male,48880.68,49513.0,1667.0,-632.3199999999997,-1.2770787469957379,True,True
49660,Female,31484.1,31227.0,628.0,257.09999999999854,0.8233259679123788,True,True
38340,Female,40929.33,40240.0,1854.0,689.3300000000017,1.713046719681913,True,True
16220,Male,48880.68,50996.0,2989.0,-2115.3199999999997,-4.148011608753627,True,False
23420,Female,34603.989,34460.0,810.0,143.9890000000014,0.4178438769587968,True,True
37140,Female,30550.425,31969.0,1090.0,-1418.5750000000007,-4.43734555350496,False,False
49420,Female,33503.25,33010.0,1046.0,493.25,1.494244168433808,True,True
46220,Female,30722.8075,30347.0,1301.0,375.807499999999,1.2383678782087157,True,True
41620,Female,39101.755,39670.0,769.0,-568.2450000000026,-1.4324300478951415,True,True
30140,Female,35438.493,35505.0,1432.0,-66.50699999999779,-0.18731727925643651,True,True
29340,Female,30457.5,30652.0,913.0,-194.5,-0.6345426073339423,True,True
13780,Female,34518.5,35259.0,954.0,-740.5,-2.10017300547378,True,True
45300,Female,39879.86,40080.0,425.0,-200.13999999999942,-0.4993512974051882,True,True
45820,Male,47729.64,50580.0,954.0,-2850.3600000000006,-5.6353499406880205,False,False
37620,Male,46922.106,47006.0,2154.0,-83.89400000000023,-0.17847508828660222,True,True
48700,Female,34216.476,33085.0,1118.0,1131.4760000000024,3.419906301949531,False,False
28660,Male,42770.595,43875.0,1119.0,-1104.4049999999988,-2.5171623931623905,True,True
37860,Female,35438.493,34541.0,1006.0,897.4930000000022,2.598341101878933,True,True
29940,Male,39101.755,41765.0,2601.0,-2663.2450000000026,-6.376738896204963,False,False
29180,Male,52473.5,52998.0,1990.0,-524.5,-0.9896599871693272,True,True
22900,Male,42640.5,43863.0,1353.0,-1222.5,-2.787087066548116,True,True
47380,Female,31024.266,31433.0,931.0,-408.7340000000004,-1.3003340438392785,True,True
35660,Male,47226.15,47712.0,1570.0,-485.84999999999854,-1.0182972837022102,True,True
14860,Male,65991.25,65350.0,1456.0,641.25,0.9812547819433817,True,True
