cbsa,sex,band,est,published,gap,pub_moe,moe,pass_pub_moe,pass_combined_moe
41700,Female,30-34,97143.06158970547,97208,-64.93841029453324,221.0,660.0113603267058,True,True
19100,Female,18-24,364497.27499484754,364065,432.27499484753935,3595.6274834860187,1609.6773547077637,True,True
32580,Male,25-29,32036.0,32264,-228.0,219.0,365.4960862529858,False,True
41700,Female,18-24,122971.27148653877,123206,-234.72851346123207,2723.455525614472,1553.2432994690894,True,True
15180,Male,18-24,23937.0,24337,-400.0,893.8528961747564,280.35283810985396,True,True
28660,Female,60-64,13911.045572062292,13207,704.0455720622922,827.565707361053,750.324740855911,True,True
10180,Female,55-59,4955.026940624131,4743,212.02694062413138,368.0,451.9720932574583,True,True
31180,Male,18-24,28523.33605917383,28711,-187.66394082616898,1245.0301201175816,1011.0991405044356,True,True
15180,Female,60-64,11116.0,11146,-30.0,813.8034160655753,706.975376378131,True,True
21340,Male,30-34,33637.57826993916,33781,-143.4217300608434,69.0,627.5410152199852,False,True
30980,Female,65-69,9195.395191705436,8921,274.39519170543645,651.1105896850396,607.7125893743765,True,True
43300,Male,40-44,4361.36342729745,4136,225.36342729744956,402.0,342.76227811763493,True,True
15180,Male,30-34,13401.0,13491,-90.0,164.0,257.80094455315714,True,True
43300,Male,45-49,4198.169819073852,4219,-20.830180926148387,172.0,182.64123936935016,True,True
31180,Male,30-34,12323.19119352525,12454,-130.80880647474987,163.0,314.5830291658811,True,True
48660,Female,25-29,4831.644808350136,4692,139.64480835013637,88.0,149.7409495878914,False,True
41660,Female,55-59,3314.0209947966205,3544,-229.97900520337953,390.0,425.8560534710002,True,True
21340,Male,18-24,51288.77778147979,50956,332.77778147978825,1551.0918734878344,896.8197583489788,True,True
30980,Female,50-54,8482.804005115599,8330,152.80400511559856,144.0,176.6482489962302,False,True
17780,Male,25-29,10665.532551900093,10563,102.53255190009259,170.0,239.87164977269887,True,True
13140,Male,30-34,14109.0,14394,-285.0,226.0,468.54757669045733,False,True
33260,Female,25-29,6799.301169193129,6725,74.30116919312877,256.0,251.23909887521023,True,True
41620,Male,55-59,32098.20000634151,31759,339.20000634151074,863.0,1168.7749108147705,True,True
36420,Male,65-69,36165.425383143025,34912,1253.425383143025,1237.2182507544899,1500.7107762101302,False,True
36420,Male,50-54,40499.28264288142,41212,-712.7173571185776,159.0,938.0535938231088,False,True
46140,Female,65-69,28771.725703618074,28620,151.72570361807448,912.8115906363153,1118.0907743317189,True,True
46140,Male,55-59,29161.18338145125,29444,-282.81661854874983,738.0,1067.3012644313774,True,True
22900,Female,40-44,6947.067347830517,7041,-93.93265216948294,513.0,515.5891042370505,True,True
46140,Female,50-54,30014.65412281345,30556,-541.3458771865517,112.0,329.8995749000697,False,False
22900,Male,60-64,7798.691155803822,7667,131.69115580382186,597.8176979648562,454.0561880166261,True,True
22900,Female,35-39,7512.872964974849,7397,115.87296497484931,541.0,579.0896081376684,True,True
22900,Female,45-49,6555.062125500572,6573,-17.93787449942829,128.0,117.85770113556282,True,True
11020,Male,60-64,4899.742589826102,4931,-31.25741017389828,381.24139334547607,317.8039721832212,True,True
38300,Female,50-54,76512.00096605711,75986,526.0009660571086,144.0,817.9543703967793,False,True
37980,Male,40-44,202471.7640104756,202062,409.7640104755992,2788.0,4093.0163130200885,True,True
37980,Male,35-39,210188.3677155227,208569,1619.367715522705,2821.0,3784.8307236187493,True,True
38300,Female,65-69,88583.91202733445,88409,174.91202733444516,1584.6617935698457,1861.956508729258,True,True
29540,Female,18-24,24760.0,24380,380.0,858.0378779517837,658.0065799671004,True,True
37980,Male,45-49,179213.47919171202,178704,509.4791917120165,240.0,1522.5508807277515,False,True
29540,Male,25-29,17424.0,17417,7.0,23.0,341.16423554316185,True,True
49620,Male,55-59,15396.0,15902,-506.0,620.0,905.0038925579271,True,True
48700,Male,65-69,3621.9464569904558,3847,-225.05354300954423,304.4552512274998,237.38430286539906,True,True
48700,Male,50-54,3396.7127295326954,3439,-42.28727046730455,93.0,78.5508956001131,True,True
27780,Male,35-39,3445.0,3307,138.0,246.0,314.8669228896551,True,True
16540,Female,55-59,5033.454620074739,5255,-221.54537992526093,477.0,567.8966086320726,True,True
25420,Male,60-64,20187.0,19632,555.0,870.2011261771614,1056.0848113190295,True,True
27780,Male,45-49,3919.0,3855,64.0,60.0,229.01537338953906,False,True
23900,Male,25-29,2871.784294749528,2774,97.78429474952782,44.0,167.032151511433,False,True
49620,Female,25-29,13256.0,13449,-193.0,41.0,342.7396088395679,False,True
48700,Female,40-44,3714.9602560834696,3724,-9.03974391653037,290.0,323.5947039790218,True,True
29540,Female,30-34,18481.0,18532,-51.0,63.0,418.84491108881815,True,True
44300,Male,60-64,4786.0,4764,22.0,379.27298875612007,489.1966980992922,True,True
27780,Male,40-44,3949.0,4127,-178.0,242.0,346.2412396815983,True,True
23900,Female,60-64,4414.092667493936,4568,-153.90733250606445,371.96370790710216,332.00733206958597,True,True
48700,Female,45-49,3171.5914493374667,3122,49.591449337466656,127.0,154.54456034462524,True,True
12060,Female,50-54,220153.56454387627,220388,-234.4354561237269,331.0,936.9363380896422,True,True
12060,Female,65-69,155381.72485415233,156752,-1370.2751458476705,3237.523281769569,2313.741640476532,True,True
10500,Male,45-49,4157.345520835383,4191,-33.65447916461744,270.0,276.76296886298127,True,True
16860,Male,55-59,18153.37358848311,18055,98.37358848311123,900.0,1023.6677501600053,True,True
16860,Female,50-54,18623.295550782772,18772,-148.7044492172281,190.0,283.01868488863903,True,True
31420,Female,35-39,7700.026248839673,7548,152.02624883967292,551.0,522.501917240993,True,True
16860,Female,65-69,18155.28580280476,18410,-254.71419719524056,955.134022009477,738.5004072573867,True,True
31420,Female,45-49,6760.748559221641,6980,-219.2514407783592,242.0,184.21631316210153,True,True
40660,Male,60-64,2951.875185058202,2615,336.8751850582021,371.183243156261,248.67828660611013,True,True
