cbsa,category,est,published,gap,pub_moe,moe,pass_pub_moe,pass_combined_moe
20100,native hawaiian and other pacific islander alone,50.0,105.0,-55.0,87.0,62.2703663370467,True,True
27060,native hawaiian and other pacific islander alone,38.0,54.0,-16.0,53.0,67.1091454833095,True,True
33500,american indian and alaska native alone,2980.5656638541077,1314.0,1666.5656638541077,281.0,362.5170676286622,False,False
37900,native hawaiian and other pacific islander alone,263.77357473035437,147.0,116.77357473035437,100.0,189.2809838472133,False,True
17660,some other race alone,3514.975892955187,3191.0,323.9758929551872,832.0,1048.4738713661466,True,True
46300,black or african american alone,986.872188330592,858.0,128.87218833059205,232.0,304.6246742827988,True,True
46520,two or more races,255083.0,257059.0,-1976.0,4739.0,6217.348237426669,True,True
27980,white alone,49828.19287845028,49699.0,129.19287845028157,660.0,619.3773672473401,True,True
46520,native hawaiian and other pacific islander alone,96230.0,96063.0,167.0,1727.0,2616.4071218237427,True,True
27980,asian alone,46333.09364570366,46350.0,-16.906354296341306,1853.0,1773.1124698481444,True,True
25220,white alone,84252.48886183392,83696.0,556.4888618339173,617.0,604.6542121078683,True,True
43640,two or more races,27502.0,26515.0,987.0,1709.0,2051.150757257984,True,True
10780,some other race alone,2124.431204215227,1687.0,437.4312042152269,504.0,382.9805675574267,True,True
25220,asian alone,749.3349444036863,1083.0,-333.66505559631366,157.0,179.4559774341322,False,False
34060,white alone,127052.06758622355,123327.0,3725.067586223551,700.0,704.0182833711705,False,False
16620,black or african american alone,9842.468902424616,8747.0,1095.4689024246163,708.0,926.945983345704,False,True
34060,asian alone,3078.172973909783,3863.0,-784.8270260902168,220.0,206.8369934854532,False,False
13220,some other race alone,619.0,648.0,-29.0,290.0,266.50726178661625,True,True
44420,native hawaiian and other pacific islander alone,73.16639488541034,45.0,28.16639488541034,49.0,82.78315424553493,True,True
11540,native hawaiian and other pacific islander alone,108.0,47.0,61.0,76.0,179.43587311000553,True,True
13380,two or more races,23921.0,23243.0,678.0,1479.0,1617.6625887928546,True,True
30780,white alone,491684.0,490241.0,1443.0,1846.0,2266.39125032782,True,True
22220,some other race alone,24918.58316637262,26412.0,-1493.4168336273797,2081.0,2719.0677495815403,True,True
30780,asian alone,12041.0,12375.0,-334.0,773.0,755.6225625576899,True,True
36500,black or african american alone,10067.0,9947.0,120.0,760.0,999.891366267481,True,True
13380,native hawaiian and other pacific islander alone,656.0,597.0,59.0,142.0,158.5506094083211,True,True
16940,black or african american alone,2318.0,2277.0,41.0,339.0,362.6365096484357,True,True
43640,native hawaiian and other pacific islander alone,73.0,952.0,-879.0,762.0,80.50170166679708,False,False
24020,native hawaiian and other pacific islander alone,1.0,33.0,-32.0,41.0,3.055451889655604,True,True
41700,white alone,1245598.0265115276,1250733.0,-5134.973488472402,9698.0,9484.593393535602,True,True
31180,white alone,223664.41927535122,223499.0,165.41927535121795,2382.0,3179.894233920261,True,True
12420,white alone,1384444.3681152812,1373981.0,10463.36811528122,7092.0,7291.897741605002,False,False
12420,asian alone,180730.4972574578,180792.0,-61.50274254218675,2225.0,2659.0686369942764,True,True
41700,asian alone,77911.41929625388,77465.0,446.41929625388,1774.0,2052.7482235677467,True,True
21340,black or african american alone,29415.527190943365,29538.0,-122.47280905663501,1485.0,1274.2104633921413,True,True
20580,some other race alone,6428.564145408801,6003.0,425.56414540880087,1163.0,949.0183327068517,True,True
18580,black or african american alone,15828.21349071169,14996.0,832.2134907116906,752.0,917.766997438376,False,True
47020,two or more races,26708.53106034807,27187.0,-478.4689396519316,1779.0,1676.9070570753775,True,True
15980,two or more races,154154.0,151062.0,3092.0,4190.0,4506.056622753702,True,True
37340,two or more races,68320.0,66580.0,1740.0,3066.0,3172.7602261514735,True,True
23540,black or african american alone,60203.6123240094,59221.0,982.6123240094021,1048.0,1531.3164494997538,True,True
46060,american indian and alaska native alone,30719.23473879743,30810.0,-90.7652612025704,1682.0,1948.0329294328471,True,True
40140,some other race alone,1224227.0,1219503.0,4724.0,14451.0,15877.911824956234,True,True
17020,white alone,144271.0,144544.0,-273.0,1340.0,1610.0255036322408,True,True
44700,black or african american alone,54738.0,54932.0,-194.0,1404.0,1877.5233280801067,True,True
42200,some other race alone,68090.0,67486.0,604.0,3486.0,4179.592307090041,True,True
41740,american indian and alaska native alone,33293.0,35126.0,-1833.0,2452.0,2705.547132805812,True,True
20940,american indian and alaska native alone,2770.0,2795.0,-25.0,732.0,768.745479048495,True,True
41500,black or african american alone,9691.912742787925,9414.0,277.9127427879248,625.0,663.018358878045,True,True
17020,asian alone,11197.0,11629.0,-432.0,606.0,797.1673224823946,True,True
42220,black or african american alone,7843.0,7630.0,213.0,566.0,843.5638753045023,True,True
34900,black or african american alone,2743.0,2684.0,59.0,378.0,510.6699752176057,True,True
11100,black or african american alone,17743.476110162934,17637.0,106.47611016293376,841.0,1142.6891915268498,True,True
29700,some other race alone,27309.0,28285.0,-976.0,2803.0,2625.027762914852,True,True
47020,native hawaiian and other pacific islander alone,53.777067917439524,67.0,-13.222932082560476,90.0,89.42055254734206,True,True
13140,american indian and alaska native alone,1680.0,1861.0,-181.0,691.0,494.4910769126679,True,True
31180,asian alone,7800.154832830647,7830.0,-29.845167169352862,388.0,493.87681334308775,True,True
32580,black or african american alone,6317.0,6207.0,110.0,633.0,658.1164762534441,True,True
17780,american indian and alaska native alone,1652.120240492553,1729.0,-76.87975950744703,497.0,561.3088362533713,True,True
10540,some other race alone,6050.420573586544,5891.0,159.42057358654438,843.0,1053.4473528957308,True,True
28940,white alone,787362.8699227524,790400.0,-3037.1300772476243,1725.0,2103.9482889547044,False,False
28940,asian alone,14471.852195399948,14677.0,-205.14780460005204,645.0,687.8189261220865,True,True
