cbsa,est,published,gap,pub_moe,moe,pass_pub_moe,pass_combined_moe
29940,39159.86706075521,40695.0,-1535.1329392447878,1375.0,1651.1516154379276,False,True
41140,34068.420936635994,34044.0,24.420936635993712,1119.0,1012.2964834650459,True,True
35620,55594.75561448173,55691.0,-96.24438551827188,257.0,224.78314414793286,True,True
40380,43374.91009001555,43131.0,243.91009001555358,383.0,568.9451755972018,True,True
11200,45269.8155419281,45568.0,-298.1844580718971,1512.0,1159.4257117810482,True,True
49340,49473.18688177071,48914.0,559.1868817707073,542.0,651.2598031213205,False,True
47580,36886.302370633115,36692.0,194.30237063311506,999.0,969.1809142683775,True,True
24780,33617.418461386405,34160.0,-542.5815386135946,1135.0,1067.8190712782193,True,True
31020,39489.21050517,38105.0,1384.2105051699982,1176.0,1148.302008458225,False,True
33140,35939.26518000001,35395.0,544.2651800000094,936.0,1187.3132837158716,True,True
11260,49717.312224844354,48682.0,1035.3122248443542,644.0,1369.4250923250609,False,True
20940,23525.254502632182,23552.0,-26.745497367817734,784.0,773.1258261995504,True,True
32900,27552.902466617743,28030.0,-477.0975333822571,830.0,920.7450610994846,True,True
28100,39099.86481354104,36825.0,2274.8648135410403,905.0,1204.8318469483181,False,False
33740,31311.72547836125,30966.0,345.7254783612516,1052.0,1272.6202759607008,True,True
47900,63708.10658666134,63554.0,154.1065866613426,306.0,345.9034545324216,True,True
27900,32264.721187833886,32117.0,147.72118783388578,827.0,1192.7573947218086,True,True
36260,40729.06576873337,40899.0,-169.93423126662674,590.0,604.2113297730708,True,True
30860,42676.995175393546,33590.0,9086.995175393546,926.0,1166.685263406066,False,False
15380,42029.61306368408,42074.0,-44.38693631591741,435.0,520.8093528523564,True,True
21300,38995.11291737328,37273.0,1722.112917373277,1537.0,981.5873312728492,False,True
11460,53505.435419303336,52714.0,791.435419303336,875.0,1102.5744579548666,True,True
40580,32561.065765374165,32904.0,-342.9342346258345,832.0,892.1084467643773,True,True
36980,36069.08639163853,36319.0,-249.91360836147214,1354.0,1579.5856388357674,True,True
31140,41187.98330721674,41207.0,-19.016692783261533,434.0,493.41072083398797,True,True
13820,40074.57741627602,40359.0,-284.4225837239792,479.0,456.7803194804089,True,True
26620,45991.42804634217,46601.0,-609.5719536578326,1014.0,984.7008699730126,True,True
17410,43097.629072765005,43136.0,-38.37092723499518,327.0,341.6037379412426,True,True
10420,42081.77229278786,42464.0,-382.2277072121433,752.0,706.5051502983706,True,True
21660,38880.2892477764,39088.0,-207.7107522235965,808.0,809.9690576969302,True,True
35300,50130.54612976027,49766.0,364.5461297602669,745.0,1147.2272610219954,True,True
43620,46098.33342568056,44905.0,1193.333425680561,909.0,1689.4835995796595,False,True
36780,41104.98998422474,40938.0,166.9899842247396,793.0,1157.0063580882036,True,True
16300,43146.462742892734,43062.0,84.46274289273424,971.0,1531.8008178235789,True,True
41740,52136.931410340694,51976.0,160.93141034069413,362.0,426.18948582970336,True,True
40420,36386.93490212249,36348.0,38.93490212249162,637.0,757.5626611894407,True,True
15180,24135.91666741893,24089.0,46.91666741892914,545.0,558.5853864467499,True,True
16820,52108.03670653942,53701.0,-1592.9632934605834,1360.0,1370.6832263438503,False,True
13980,36638.86905385248,36750.0,-111.13094614751753,958.0,1250.004572736726,True,True
23540,37697.04546594541,37916.0,-218.9545340545883,1158.0,916.5149006313206,True,True
42700,31216.30999074858,32993.0,-1776.6900092514188,1098.0,1132.7553012779276,False,False
