cbsa,sex,band,edu4,est,published,gap,pub_moe,moe,pass_pub_moe,pass_combined_moe
25500,Female,25-34,hs_or_less,2757.0,2581,176.0,318.11161563199795,341.20746077166893,True,True
25540,Female,25-34,hs_or_less,15224.884211794173,15372,-147.1157882058269,975.9697741221293,980.2366425908896,True,True
25620,Female,25-34,hs_or_less,2711.454204695674,2919,-207.54579530432602,560.3481060912047,473.7681338195247,True,True
25740,Female,25-34,hs_or_less,1695.0807378948234,1546,149.08073789482341,319.7342646636422,236.49333186119378,True,True
25860,Female,25-34,hs_or_less,7014.392049403177,6400,614.3920494031772,666.706082168147,839.3231307562236,True,True
25940,Female,25-34,hs_or_less,4227.761793212982,3991,236.7617932129824,561.5442992320375,528.9331094534158,True,True
25980,Female,25-34,hs_or_less,2031.8819252389249,2529,-497.11807476107515,420.8384488137936,318.39197496982666,False,True
26140,Female,25-34,hs_or_less,3406.0,3230,176.0,479.5143376375726,503.6302566578482,True,True
26300,Female,25-34,hs_or_less,1768.9376316217677,1567,201.93763162176765,302.7936591145858,231.83331571740874,True,True
26380,Female,25-34,hs_or_less,4566.931762284037,4293,273.9317622840372,565.0999911520084,514.5532805137948,True,True
26420,Female,25-34,hs_or_less,162516.68561819373,161417,1099.6856181937328,4321.623768909089,3934.5143011119544,True,True
26580,Female,25-34,hs_or_less,7533.587886880939,7221,312.58788688093864,583.2298003360254,691.5702161049917,True,True
26620,Female,25-34,hs_or_less,7377.19904135429,7130,247.19904135428988,772.9327266974791,874.1664604116148,True,True
26820,Female,25-34,hs_or_less,3205.2452114364996,3317,-111.75478856350037,437.49514283018044,414.9045558427595,True,True
26900,Female,25-34,hs_or_less,42727.20426757004,43143,-415.79573242995684,2006.1968996088096,2079.799739973105,True,True
26980,Female,25-34,hs_or_less,1925.0006730715522,1820,105.00067307155223,351.4057483878145,494.49994214468046,True,True
27060,Female,25-34,hs_or_less,941.0,800,141.0,202.23748416156684,310.8849808369648,True,True
27100,Female,25-34,hs_or_less,3056.0,3362,-306.0,374.01336874502226,426.38720494551666,True,True
27140,Female,25-34,hs_or_less,10794.952703542298,10148,646.952703542298,955.5678939771889,1034.7377148841924,True,True
27180,Female,25-34,hs_or_less,4148.525198116583,4044,104.52519811658294,423.2871365869745,566.0484211450187,True,True
27260,Female,25-34,hs_or_less,33149.10400451822,32266,883.1040045182235,1808.5820412687947,1773.655332304076,True,True
27340,Female,25-34,hs_or_less,3339.3493346424557,3684,-344.6506653575443,445.84975047654785,505.7996723133781,True,True
27500,Female,25-34,hs_or_less,2632.0,2913,-281.0,416.06970569845623,487.0168286324919,True,True
27620,Female,25-34,hs_or_less,2152.171127153064,2243,-90.82887284693606,327.7636343464601,365.89286845175263,True,True
