cbsa,sex,bucket,est,published,gap,pub_moe,moe,pass_pub_moe,pass_combined_moe
18580,Male,1,31067.358444057747,31232,-164.64155594225304,1662.5492473908855,1630.7884653313615,True,True
18700,Male,1,5917.368098717592,5733,184.36809871759215,608.9146081348352,560.9209430240445,True,True
18880,Male,1,23800.59558322143,23635,165.5955832214313,1410.9216845735982,1212.0462284947566,True,True
19100,Male,1,565310.3441162917,570407,-5096.65588370827,8315.264998783863,7675.98359798467,True,True
19140,Male,1,13277.492036259908,13926,-648.5079637400922,1049.0142992352392,839.4512951160445,True,True
19300,Male,1,13916.0,13842,74.0,1225.5986292420532,1506.1583528243304,True,True
19340,Male,1,24713.841088137036,23638,1075.8410881370364,1164.67033962405,1264.3067104395604,True,True
19430,Male,1,52444.0,54119,-1675.0,2114.2322483587277,2031.3538453513584,True,True
19460,Male,1,10501.0,11470,-969.0,924.5658440587127,983.6312541642574,False,True
19500,Male,1,6226.096082184929,6100,126.0960821849294,661.0015128575728,637.4798122030909,True,True
19660,Male,1,49171.0,50609,-1438.0,2181.988084293771,2287.63174582662,True,True
19740,Male,1,191040.70662434932,190391,649.7066243493173,4613.650506919656,3768.488998639111,True,True
19780,Male,1,47597.58267407074,48490,-892.4173259292584,1876.0247866166374,2373.2778643272163,True,True
19820,Male,1,256707.38814990825,260014,-3306.611850091751,4162.00084094177,4507.558697456876,True,True
20020,Male,1,11591.0,10548,1043.0,597.7281991005611,699.6513953587886,False,False
20100,Male,1,12120.0,12047,73.0,1017.1961462766166,1287.8373432313765,True,True
20220,Male,1,7022.537896131982,6399,623.537896131982,594.9882351778058,540.932826417788,False,True
20260,Male,1,18022.12296956569,17434,588.1229695656912,890.5318635512151,987.3198461198257,True,True
20500,Male,1,39517.6534534601,38866,651.6534534601014,1941.5735886131126,2073.5980732218804,True,True
20580,Male,1,4786.032129315385,5367,-580.9678706846153,776.7715236799042,434.6834351120154,True,True
20740,Male,1,11840.691895769874,12615,-774.3081042301255,849.9258791212326,1052.726246951762,True,True
20940,Male,1,10303.0,10945,-642.0,1039.6090611378875,1002.1339459947458,True,True
21060,Male,1,9832.508018091085,10606,-773.4919819089155,800.9107316049648,835.9720748466453,True,True
21140,Male,1,15720.0,16339,-619.0,1135.8635481429976,1183.5127956601273,True,True
21300,Male,1,4958.296492460275,4980,-21.70350753972525,467.64302624972396,340.54726369096977,True,True
21340,Male,1,71548.90460923352,72242,-693.0953907664807,2703.8683399899487,2671.2750873114396,True,True
21420,Male,1,4405.078603026043,4788,-382.9213969739567,584.4929426434505,445.9871021330709,True,True
21500,Male,1,18925.0,18943,-18.0,1070.0313079531832,1300.6600050608922,True,True
21660,Male,1,28578.0,29346,-768.0,1514.8184709726772,1525.6666436377084,True,True
21780,Male,1,19439.689903095943,19179,260.689903095943,1113.191807371937,1180.6508984123257,True,True
21820,Male,1,7862.101581518858,8081,-218.89841848114156,920.6470550650776,843.0084504102349,True,True
22020,Male,1,22138.444083086,20239,1899.4440830860003,1312.2537864300486,1846.189073504722,False,True
22140,Male,1,7741.792055772274,7453,288.79205577227367,722.2721093881446,868.7717151555203,True,True
22180,Male,1,38373.472652643744,37812,561.4726526437444,1367.509780586596,1524.9730863675575,True,True
