cbsa,alpha,beta,n_fit_points,fallback,val_p90_rel_err
32820,0.4861632602283062,-0.5645066365296308,97,False,0.4256619031153047
32900,0.5054599491868721,-0.5916521501877455,71,False,0.5259526566020492
33100,0.5221696888771137,-0.54788807942442,111,False,0.5489560264815795
33140,0.4411854055842286,-0.584765232031346,58,False,0.3742045445559671
33220,0.12829327351921307,-0.608516130290753,50,False,0.2512980403319891
33260,0.5023492057133863,-0.5939979736925276,62,False,0.2855939494285051
33340,0.4489354277679904,-0.563822692238586,99,False,0.2645524759949656
33460,0.3506277847618236,-0.5349378217832278,105,False,0.3655717395000041
33500,0.5313247165980378,-0.6163991789037183,48,False,0.2690504827982074
33540,0.5091908262180328,-0.6350499600674601,58,False,0.32713824457919416
33660,0.5410136824689137,-0.5875660090912229,79,False,0.33101626826728153
33700,0.4242604850165381,-0.5574957998716382,81,False,0.3924786079534309
33740,0.5461728284688897,-0.6144741517040496,63,False,0.3808286272513366
33780,0.5562900274128738,-0.6085393410890322,55,False,0.2734597197781581
33860,0.6167177450517323,-0.614478687164352,78,False,0.3111918165470454
34060,0.39670586116058876,-0.6004712217270507,61,False,0.29844003526529816
34100,0.4563896925164672,-0.604863862605884,45,False,0.48905920971916694
34580,0.5545204811915259,-0.5767707678786681,69,False,0.8912570483002019
34620,0.5360241733401936,-0.605229525910615,51,False,0.20087408512805272
34740,0.5279547133558375,-0.6004216662225131,58,False,0.4971334450417904
34820,0.4404336610460967,-0.5676114659973777,72,False,0.3088061884080789
34900,0.29867436045695817,-0.5502011671666458,80,False,0.38743887941617206
34940,0.47813667196816184,-0.5600577724843419,80,False,0.4177826047980431
34980,0.4516721699893586,-0.5487541337276072,105,False,0.4054378735426072
35300,0.37610865545081507,-0.5502808245466548,95,False,0.37936638365017267
35380,0.4486864574981255,-0.5488554181266225,102,False,0.3208188713268516
35620,0.5250273986415419,-0.547135722930378,114,False,0.3229522241096872
35660,0.35906290269497243,-0.5579989104809612,70,False,0.4001597826844685
35840,0.38072647752615424,-0.5459231650872799,86,False,0.2758259526823759
35980,0.36238155756272145,-0.553037318634253,82,False,0.5330068038827915
36100,0.392721527153479,-0.559427807889447,68,False,0.2568207616175326
36220,0.544196123531521,-0.6069562609675243,60,False,0.46478934591499055
36260,0.47493859612053413,-0.5712783528317924,79,False,0.528829366970244
36420,0.33500179793286283,-0.5418516355911778,95,False,0.49570612503808303
36500,0.22841180706591532,-0.5402818590395905,78,False,0.2560945284678791
36540,0.329337985631183,-0.5439439623258854,87,False,0.4884005148746052
36740,0.4914017046219695,-0.5499841692935656,107,False,0.36920912683181994
36780,0.5810113183839243,-0.6174688732458111,58,False,0.27875394775252554
36980,0.4405784096844189,-0.6025877260698769,50,False,0.4465866126953374
37100,0.42071708647636963,-0.5599722505188679,93,False,0.5156442845247406
37140,0.2408270622384437,-0.66457218437,45,False,0.3706906557054691
37340,0.3455895680923808,-0.5431917963764173,89,False,0.30993662790722126
37460,0.6131694693736203,-0.628059845520481,68,False,0.667749897444524
37620,0.5473169017852786,-0.6661601261403176,44,False,0.22723997180971037
37860,0.3816802746824123,-0.5443364965597286,82,False,0.47630859756580857
37900,0.37466849891258347,-0.5519886560378483,76,False,0.39821763202042554
37980,0.4711731238840466,-0.5438317999245471,111,False,0.3050905175226
38060,0.3849471283090877,-0.5313590999158271,110,False,0.4317667355850228
38240,0.37143895929067655,-0.5979015470548171,56,False,0.40055521159206087
38300,0.31536059181608067,-0.5272593432077185,102,False,0.3880348059343437
38340,0.5944642795606467,-0.5892755378093465,67,False,0.26050872611479137
38540,0.3052575167750825,-0.5923678911933828,40,False,0.3918410309773034
38860,0.4090534367770228,-0.5597300247633744,74,False,0.24879687323712119
38900,0.33707812900430384,-0.5365382648481349,107,False,0.36739130008675647
38940,0.31153781768095,-0.54020857137875,83,False,0.5728508311698425
39150,0.3759737742789194,-0.5521462386759843,64,False,0.3597355918979599
39300,0.3377823508479977,-0.5349039087566537,102,False,0.3894820819187532
39340,0.4299321550650115,-0.5576262423108704,77,False,0.5472930110712445
