cbsa,bucket,est,published,gap,pub_moe,moe,pass_pub_moe,pass_combined_moe
44100,5,8814.477712244932,8304,510.47771224493226,633.0,968.0253098213213,True,True
44140,5,15119.0,15635,-516.0,973.0,1309.0140085112726,True,True
44180,5,12637.797552140793,13002,-364.2024478592066,862.0,931.0131007941561,True,True
44220,5,4241.0,4021,220.0,523.0,541.5115381884766,True,True
44300,5,4954.0,5312,-358.0,439.0,574.6101792400218,True,True
44420,5,3899.4702090458995,4055,-155.52979095410046,452.0,434.2778007223734,True,True
44700,5,28940.0,29380,-440.0,1313.0,1536.343036216603,True,True
44940,5,2199.475353831137,2344,-144.524646168863,529.0,539.6953286369113,True,True
45060,5,24207.510626035655,25383,-1175.4893739643448,997.0,1140.3800931875949,False,True
45220,5,11448.178352439349,11928,-479.8216475606514,809.0,875.1301364783008,True,True
45300,5,112571.0,116505,-3934.0,2976.0,3053.7757581062665,False,True
45460,5,4039.9835153750832,4087,-47.01648462491676,435.0,504.666743928908,True,True
45500,5,3372.3752691818017,3425,-52.62473081819826,428.0,413.8803822299901,True,True
45780,5,18922.01912866016,19173,-250.98087133984154,919.0,1194.2657276244963,True,True
45820,5,7132.721889637922,7746,-613.2781103620782,679.0,648.373022443483,True,True
45900,5,5277.318650488528,5543,-265.68134951147204,438.0,525.4535091246001,True,True
45940,5,17159.0,16895,264.0,1226.0,1292.3296832102287,True,True
46060,5,35954.68309626199,36575,-620.3169037380067,1412.0,1529.7031669236958,True,True
46140,5,31034.91056447631,32393,-1358.0894355236887,1019.0,1475.5383479099753,False,True
46220,5,8249.291068870925,8425,-175.7089311290747,708.0,843.0971712824164,True,True
46300,5,3000.5385432963485,2772,228.5385432963485,418.0,356.1271538636436,True,True
46340,5,6769.0,7270,-501.0,799.0,669.0549896953538,True,True
46520,5,42337.0,43591,-1254.0,1553.0,1742.5889994821646,True,True
46540,5,9820.02519696676,9767,53.02519696676063,617.0,820.5792534669274,True,True
46660,5,3175.611859938498,3155,20.611859938498128,452.0,465.1739744195844,True,True
46700,5,19197.0,20022,-825.0,1015.0,1240.0018838216538,True,True
47020,5,3224.7925223087987,2663,561.7925223087987,384.0,426.2600867634824,False,True
47220,5,4963.1947649532885,4514,449.19476495328854,440.0,550.1889821103138,False,True
47260,5,71133.95370605112,73774,-2640.046293948879,2084.0,1931.011013294493,False,True
47300,5,10545.0,10841,-296.0,878.0,973.1796921034163,True,True
47380,5,8008.251430886005,8135,-126.74856911399456,705.0,911.9300946591258,True,True
47460,5,2011.969693473011,1969,42.96969347301092,253.0,283.99158432749056,True,True
47580,5,7178.597932659978,7471,-292.40206734002186,856.0,862.1101245182701,True,True
47900,5,319613.56785117066,326618,-7004.432148829335,4645.0,4746.285460139267,False,False
47930,5,20106.0,20282,-176.0,1122.0,1533.3331253094516,True,True
47940,5,4837.48660503497,5238,-400.5133949650299,496.0,663.6883840627435,True,True
48060,5,3252.7000218853914,3516,-263.2999781146086,466.0,433.4188756802484,True,True
48140,5,5351.0,5208,143.0,423.0,693.8721342752929,True,True
48260,5,3053.6790314474074,2797,256.6790314474074,368.0,270.3013083075857,True,True
48300,5,4600.0,4936,-336.0,470.0,490.6210776403721,True,True
48540,5,3672.814837321753,3705,-32.1851626782468,363.0,330.97983740188096,True,True
48620,5,21102.290554138668,21539,-436.7094458613319,1218.0,1361.8566514510255,True,True
48660,5,4478.551809355693,4519,-40.44819064430703,542.0,483.8834689158987,True,True
48680,5,5068.0,5127,-59.0,711.0,824.8499799145297,True,True
48700,5,3569.9970982305153,3740,-170.00290176948465,464.0,443.20415750903464,True,True
48900,5,18553.0,19065,-512.0,1175.0,1041.1067114349999,True,True
49020,5,6121.506130858485,5859,262.50613085848545,517.0,578.7388793414217,True,True
49180,5,19857.282531853798,20570,-712.717468146202,1167.0,1317.9924023979718,True,True
49340,5,40226.0,41301,-1075.0,1537.0,1689.3218955600944,True,True
49420,5,6744.0,6742,2.0,686.0,746.5784972995137,True,True
49620,5,19260.0,19169,91.0,1039.0,1278.4899890891795,True,True
49660,5,10635.0,10398,237.0,679.0,867.2663251583969,True,True
49700,5,6091.0,5982,109.0,628.0,711.9088871311062,True,True
49740,5,4903.032044218693,4872,31.032044218693045,579.0,561.5958198384927,True,True
10180,6,4081.4201037538814,3983,98.42010375388145,456.0,542.850156946483,True,True
10420,6,27716.0,27166,550.0,1031.0,1370.4981619916534,True,True
10500,6,2538.065886757843,2475,63.065886757843145,384.0,337.9862200087662,True,True
10540,6,4027.6967956106773,2821,1206.6967956106773,344.0,480.7491673736135,False,False
10580,6,50994.87029288705,50733,261.870292887048,1511.0,1812.4341002410342,True,True
10740,6,35519.90481482044,33319,2200.9048148204383,1466.0,1631.4109147652846,False,False
10780,6,2905.535127959047,3499,-593.4648720409532,493.0,335.62430572821347,False,True
10900,6,42954.0,41805,1149.0,1428.0,1953.5761945500105,True,True
11020,6,2407.4510277087247,2471,-63.54897229127528,313.0,284.2016655481368,True,True
11100,6,8594.180678236171,8604,-9.819321763829066,748.0,751.1800864059988,True,True
11180,6,4508.0,4512,-4.0,435.0,714.4074210140877,True,True
11200,6,8155.163049526982,8839,-683.8369504730181,645.0,644.2640436197909,False,True
11260,6,25731.29995790114,25113,618.2999579011412,1041.0,1840.1543806918166,True,True
11460,6,26373.0,25841,532.0,815.0,1308.9651694363376,True,True
11500,6,1831.0,1816,15.0,317.0,384.16931461921837,True,True
11540,6,9800.389631968632,9998,-197.61036803136813,673.0,930.6063668438527,True,True
11700,6,16698.549598090867,15363,1335.5495980908672,993.0,1164.6394716273242,False,True
12020,6,8517.697516584198,8352,165.69751658419773,656.0,708.2620693421866,True,True
12060,6,368697.98285610543,359837,8860.982856105431,5014.0,5189.418063912457,False,False
12100,6,20243.0,18748,1495.0,1032.0,1326.4536322469964,False,True
12220,6,5779.218631082452,6079,-299.7813689175482,571.0,633.9074999298107,True,True
12260,6,19460.399898170952,20763,-1302.600101829048,988.0,1107.757071562926,False,True
12420,6,195222.60056792962,189518,5704.600567929621,2958.0,3917.534951751631,False,False
12540,6,25074.0,24604,470.0,1362.0,1404.360403070558,True,True
12580,6,216463.71645651848,214183,2280.7164565184794,3200.0,3987.3144783545295,True,True
12620,6,4033.3964667728233,4754,-720.6035332271767,471.0,570.5456927274996,False,True
12700,6,19997.396169920787,19293,704.3961699207866,1201.0,977.7759759660626,True,True
12940,6,33344.58881578947,32605,739.5888157894733,1792.0,1738.7907772801052,True,True
12980,6,3753.0866436428355,3144,609.0866436428355,353.0,409.5969212363985,False,False
13020,6,3577.2756565737714,2337,1240.2756565737714,293.0,454.7470115898781,False,False
13140,6,11952.0,11363,589.0,847.0,1014.1895942025585,True,True
13220,6,1999.0,1600,399.0,324.0,506.5618512889122,False,True
13380,6,11441.0,11130,311.0,683.0,907.9591619361248,True,True
13460,6,16275.0,14898,1377.0,1054.0,1287.7979973524575,False,True
13740,6,6421.3985227303665,8015,-1593.6014772696335,868.0,764.4218279310509,False,False
13780,6,6791.419140941471,7488,-696.5808590585293,564.0,485.3376568729986,False,True
13820,6,48092.55326552246,47639,453.5532655224597,1510.0,1939.6795214227927,True,True
13900,6,6231.182340904972,6054,177.18234090497208,715.0,854.294485183346,True,True
13980,6,6370.0,6291,79.0,533.0,698.2197607048586,True,True
14010,6,8407.0,8260,147.0,631.0,673.1046731759111,True,True
14020,6,5658.616528555986,5308,350.6165285559864,577.0,646.9880174133089,True,True
14260,6,36181.757736806794,35347,834.7577368067941,1601.0,1818.9572804671252,True,True
14460,6,509632.9889748493,505773,3859.988974849286,4624.0,5049.338713664157,True,True
14500,6,32172.586233001857,32520,-347.4137669981428,1178.0,1094.4613478976148,True,True
14540,6,4966.749259296249,4597,369.74925929624897,519.0,511.97284389258016,True,True
14580,6,8302.0,8188,114.0,613.0,938.2373263619127,True,True
14740,6,18410.0,17914,496.0,838.0,1043.483613513528,True,True
14860,6,100665.0,101038,-373.0,1846.0,2143.9823060845792,True,True
15180,6,5606.0,5478,128.0,545.0,571.1267300816431,True,True
15260,6,3766.6157325083277,4217,-450.3842674916723,451.0,377.5639762513828,True,True
15380,6,47501.0,47046,455.0,1519.0,1887.452849574328,True,True
15500,6,4183.0,4310,-127.0,490.0,495.4356588750955,True,True
15540,6,12906.846849945043,13017,-110.15315005495722,799.0,1081.5314383866955,True,True
15940,6,11077.0,10353,724.0,805.0,992.8725206773779,True,True
15980,6,36525.0,34968,1557.0,1435.0,1619.5967359581366,False,True
16020,6,2182.775513492785,2378,-195.2244865072148,331.0,302.7852926806166,True,True
16180,6,2421.6527927191983,2139,282.65279271919826,349.0,197.08310433127915,True,True
16220,6,2854.4685867628095,2916,-61.53141323719046,471.0,362.3618956958349,True,True
16300,6,10791.772032644709,10748,43.772032644708815,819.0,1068.2750755173074,True,True
16540,6,5164.098848455542,5041,123.09884845554188,521.0,630.4457265484907,True,True
16580,6,8341.390181347724,9107,-765.6098186522759,630.0,718.7114592094885,False,True
16620,6,5702.621426146094,5011,691.6214261460937,442.0,598.405322976286,False,True
16700,6,45467.0,44986,481.0,1554.0,1935.0547958698096,True,True
16740,6,150688.25333923654,150750,-61.74666076345602,3043.0,3181.999350751303,True,True
16820,6,14907.518535214895,15265,-357.48146478510535,865.0,860.8670317018466,True,True
16860,6,22198.68918072003,22326,-127.31081927997002,1167.0,1313.5718226526628,True,True
16940,6,3194.0,3323,-129.0,501.0,525.7330955128277,True,True
16980,6,605685.3630203776,596838,8847.363020377583,5954.0,8167.617066137597,False,True
17020,6,8688.0,8681,7.0,696.0,858.8519636526426,True,True
17140,6,111492.65226453428,110288,1204.6522645342775,2302.0,2302.6966860222997,True,True
17300,6,7063.782370728294,6890,173.78237072829415,785.0,777.1007333617158,True,True
17410,6,94885.0,93323,1562.0,1882.0,2301.7970733374827,True,True
17420,6,3318.0,3084,234.0,387.0,457.7003729515631,True,True
17660,6,6479.068969607997,5940,539.0689696079971,642.0,708.3264766911634,True,True
17780,6,10093.807253164794,9222,871.807253164794,725.0,799.2124869487202,False,True
17820,6,41442.0,40565,877.0,1438.0,1842.3514204532885,True,True
17860,6,6898.533255731436,8229,-1330.466744268564,789.0,670.9044179669285,False,False
17900,6,28805.314450499034,28007,798.3144504990341,1512.0,1597.7620381908168,True,True
17980,6,8544.354553092388,8838,-293.6454469076125,818.0,779.049096769553,True,True
18020,6,2841.081200651326,3463,-621.9187993486739,407.0,392.9309753669485,False,False
18140,6,114577.18114267616,110354,4223.181142676156,2337.0,2940.0257611088145,False,False
18580,6,12823.765903633503,13676,-852.2340963664974,1034.0,992.4084694335478,True,True
18700,6,4193.3032043893245,4926,-732.6967956106755,403.0,558.0775984051821,False,False
18880,6,13297.342917415424,15070,-1772.6570825845756,825.0,1010.7497302021715,False,False
19100,6,464321.03025230544,456500,7821.0302523054415,5580.0,5013.089483697182,False,False
19140,6,3313.9926860012138,3224,89.99268600121377,488.0,436.342833348841,True,True
19300,6,10654.0,10271,383.0,977.0,1158.7447023514283,True,True
19340,6,12959.041098191316,13027,-67.95890180868446,750.0,1051.0479235572814,True,True
19430,6,30365.0,29387,978.0,1263.0,1283.5498181084558,True,True
