cbsa,metro_name,persona,pool,pool_moe,cv,n_unweighted,rivals,ratio,tier,allocation_purity,gq_share
12060,"Atlanta-Sandy Springs-Roswell, GA",D,115301,3749,2.0,4140,445740,0.259,ranked,0.941,0.01
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",D,63294,3141,3.0,1900,285720,0.222,ranked,0.9518,0.0154
38300,"Pittsburgh, PA",D,31889,1644,3.1,1429,164607,0.194,ranked,0.9436,0.025
12420,"Austin-Round Rock-San Marcos, TX",D,49642,2316,2.8,1764,219154,0.227,ranked,0.936,0.0166
41940,"San Jose-Sunnyvale-Santa Clara, CA",D,33047,1606,3.0,1596,156706,0.211,ranked,0.9658,0.0218
39340,"Provo-Orem-Lehi, UT",D,4389,595,8.2,272,49460,0.089,ranked,0.9824,0.0293
28660,"Killeen-Temple, TX",D,5732,826,8.8,229,33719,0.17,ranked,0.7825,0.0339
11460,"Ann Arbor, MI",D,4957,669,8.2,210,23125,0.214,ranked,1.0,0.0527
35620,"New York-Newark-Jersey City, NY-NJ",E,17763,1484,5.1,517,919850,0.019,ranked,0.995,0.0189
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",E,15012,1576,6.4,421,308886,0.049,ranked,0.9368,0.0153
12060,"Atlanta-Sandy Springs-Roswell, GA",E,8696,1387,9.7,213,240079,0.036,ranked,0.941,0.01
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",E,1340,598,27.1,16,155273,0.009,suppressed,0.9518,0.0154
38300,"Pittsburgh, PA",E,295,210,43.4,11,88148,0.003,suppressed,0.9436,0.025
12420,"Austin-Round Rock-San Marcos, TX",E,2201,730,20.2,43,130086,0.017,suppressed,0.936,0.0166
41940,"San Jose-Sunnyvale-Santa Clara, CA",E,498,219,26.8,19,104945,0.005,suppressed,0.9658,0.0218
39340,"Provo-Orem-Lehi, UT",E,22,43,118.0,1,27198,0.001,suppressed,0.9824,0.0293
28660,"Killeen-Temple, TX",E,78,83,64.1,3,11427,0.007,suppressed,0.7825,0.0339
11460,"Ann Arbor, MI",E,179,157,53.4,5,19608,0.009,suppressed,1.0,0.0527
